last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
03-02-2025 14:10,23419.8,36375,600,150,29850,4125,N,-5100,Y,0.34,23413.05,23419.8,23429.95,23410,97.6,2215950,600,2175,45450,-5475,YES,-49575,Y,0.15,133.85,1164450,900,150,44025,-8850,Y,-4950,YES,-0.45,49529.8,5970,120,210,8400,2190,N,-990,N,0.51
03-02-2025 14:15,23423.2,21750,-225,0,22875,-2100,YES,-4875,N,0.21,23419,23423.2,23428,23416.85,100.75,1346925,825,-900,49125,9075,N,-1275,YES,0.1,132.4,621600,600,0,44250,19275,YES,17325,Y,-0.23,49526.2,3180,30,-60,8490,60,YES,-600,N,0.28
03-02-2025 14:20,23420.8,71850,-150,0,27525,2475,N,-13350,Y,0.64,23423.2,23420.8,23433,23405.8,100.8,2144325,-75,1500,46425,56400,Y,-55650,Y,0.17,130.35,1266225,750,1500,42600,-44175,Y,15000,N,-0.44,49530.3,3930,0,-210,7890,990,N,-1590,Y,0.3
03-02-2025 14:25,23432.7,44325,1650,-450,24375,-3900,YES,101175,YES,0.52,23421.95,23432.7,23440.75,23421.95,105.75,2543325,-900,750,41625,-35400,YES,-37200,N,0.29,125.45,1211175,-900,-375,41175,34725,YES,26475,N,-0.51,49548.65,5190,-30,-30,8010,-4530,YES,-1980,Y,0.51
03-02-2025 14:30,23424.4,35775,-1500,75,25200,5850,N,109875,N,0.33,23432.7,23424.4,23437.15,23412.35,98.15,2279475,-375,-1350,46725,24600,Y,115950,YES,0.12,129.6,1526400,-600,975,43425,9975,N,2475,YES,-0.52,49519.95,4860,30,30,8310,-17970,YES,2400,N,0.4
03-02-2025 14:35,23420.55,24000,300,375,25875,6975,N,2325,Y,0.24,23424.4,23420.55,23434.8,23419.35,98,1869450,75,150,46125,-46425,YES,4500,N,0.12,130.95,1037625,600,300,40950,31125,YES,19575,N,-0.38,49539.85,3270,0,0,7680,-4290,N,29640,YES,0.31
03-02-2025 14:40,23423.95,19875,-75,75,27375,1725,YES,3525,N,0.17,23420.55,23423.95,23426.55,23417,99.9,1111200,1650,900,49200,63600,Y,19650,N,0.06,128.7,817650,900,0,43725,-17100,Y,13650,N,-0.26,49549.95,3690,60,-30,8100,480,N,270,Y,0.32
03-02-2025 14:45,23405.3,29100,75,-150,25575,-7575,YES,-3225,Y,0.22,23423.95,23405.3,23426.85,23404.5,92.75,1863225,1650,525,55500,-70950,YES,30525,N,0.05,135.35,1187175,75,-1200,47850,-13050,N,-47925,YES,-0.34,49525.1,6510,-120,-60,9150,-1320,YES,-870,Y,0.62
03-02-2025 14:50,23417.95,24750,375,-75,24900,11850,N,-5700,Y,0.15,23405.9,23417.95,23419,23401.1,96.2,1530600,-450,1200,45600,-6450,Y,-19425,Y,0.01,129.2,1086825,375,-1650,43200,-58650,Y,75,Y,-0.29,49544.4,11010,-60,0,9750,1890,N,-240,N,1.06
03-02-2025 14:55,23432.05,51825,-375,75,30150,-8775,YES,5775,N,0.45,23418,23432.05,23434,23414.7,102.5,2053500,1575,-900,43275,15675,Y,-72150,Y,0.11,120.7,1341825,975,0,43725,-14475,YES,25200,Y,-0.49,49550,7560,-30,0,8400,3090,N,4620,N,0.81
03-02-2025 15:00,23438.7,86400,0,0,29325,-17925,YES,-3450,Y,0.96,23435,23438.7,23445,23425.6,102.2,3666375,-2850,375,55800,-51300,YES,1725,YES,0.31,119.4,2134950,-1125,-300,42600,19500,YES,39975,N,-0.92,49501.15,14160,30,90,10290,-3570,YES,8970,N,1.27
03-02-2025 15:05,23454.35,139275,0,-75,29850,-4350,N,-64575,Y,1.72,23439,23454.35,23454.35,23435.05,109,2290125,-300,600,43500,30225,Y,-74475,Y,0.22,112.5,1398600,4575,1500,39975,-75000,Y,28950,N,-0.64,49520,29520,30,-90,10500,-1170,N,-2610,Y,1.7
03-02-2025 15:10,23451.55,126525,-225,0,30750,-7575,YES,-49050,N,1.71,23451,23451.55,23461.35,23445.35,108,3041400,-150,-3000,45375,-63600,YES,-900,YES,0.37,116.15,1896825,-600,1275,46350,5475,YES,-53175,YES,-0.86,49524,8610,0,-120,13650,-1170,N,1020,N,0.61
03-02-2025 15:15,23443.95,103575,-225,2325,34950,-11775,YES,-8100,YES,1.12,23448,23443.95,23453.4,23434.05,106,2047500,-2475,-375,51000,-36300,Y,-52050,Y,0.17,120.55,1708050,0,-1125,52350,-20475,Y,-49575,N,-0.64,49491,20370,0,-30,12990,-33900,YES,-3660,Y,1.08
03-02-2025 15:20,23436.4,66675,-225,-150,30375,-9450,N,-26925,Y,0.66,23443.25,23436.4,23443.95,23435.9,102.85,1357875,-900,5550,46275,-56100,YES,-25575,YES,0.1,121.3,1058100,375,0,47325,-38175,Y,-39225,N,-0.37,49494.9,11010,180,0,12240,-4710,Y,600,N,0.47
03-02-2025 15:25,23440,221025,150,1350,37800,-143850,YES,-125175,Y,1.93,23436.4,23440,23440,23432.6,105.75,1825275,-600,-975,45000,-577350,YES,-232650,Y,0.14,114.8,1643400,75,-525,51900,-929250,Y,-160650,YES,-0.57,49505.05,21510,-180,-30,14460,-38550,YES,-38910,Y,1.06
