last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 12:20,22.75,13300,100,0,21.75,18.85,12175,1725,N,2225,Y,0.03,7.5,405050,575,-500,7.2,7.25,24700,19000,N,-17350,Y,-0.2,-15.25,270600,425,50,-15.4,-14.95,23550,-25425,Y,-13425,N,-0.45,40.8,10110,-60,15,36,39.7,8310,945,-3945,0.36
06-12-2024 12:25,4,21700,-225,475,4.1,4,13100,-5200,N,-5575,Y,0.16,2.35,494350,-250,-5100,2.35,2.5,24825,-11050,YES,5875,YES,-0.19,-2.5,233350,100,-25,-2.55,-2.5,19350,19300,N,12300,Y,-0.48,1.75,15480,0,-120,1.75,-1.6,10815,-480,945,0.89
06-12-2024 12:30,-1.15,30325,-50,50,-1.2,-1.15,15050,-2825,N,2525,N,0.18,-0.7,450775,-150,325,-0.45,-0.5,23450,-7550,N,-2725,Y,-0.17,0.1,174325,-5325,75,0.5,0.5,20975,-3675,Y,3650,N,-0.35,-36.55,5850,15,0,-42.65,-51.3,4755,2865,-2820,0.21
06-12-2024 12:35,3.15,23175,150,-100,3.55,3.05,11975,-425,N,3275,N,0.15,1.15,399700,75,-1100,0.75,0.85,26925,8525,N,-8800,Y,-0.15,-1.95,170800,0,875,-2,-2,24725,-4175,Y,6200,N,-0.34,28.8,5565,105,-90,18.5,12.65,6525,9615,-1395,0.13
06-12-2024 12:40,3.85,14450,-50,275,0.9,1.6,12025,-3350,N,9950,N,0.12,-0.05,467225,150,-100,-0.5,-0.45,23125,-21750,N,8875,N,-0.15,1.55,200625,375,-25,1.85,2.2,19925,-3050,N,1600,N,-0.45,21.95,6495,450,0,25.45,13.75,6825,-3705,3255,0.33
06-12-2024 12:45,5.2,20125,275,-175,6.2,4.1,10125,4000,N,-10525,Y,0.15,2,453325,475,-25,1.45,1.45,20225,21425,Y,-26175,Y,-0.17,-6.05,155300,800,150,-5.65,-5.7,19750,-8675,Y,-8625,N,-0.31,20,8340,-435,345,13.4,17.9,5670,3030,-5445,0.4
06-12-2024 12:50,4.6,48000,0,-350,2.85,4,14525,-2900,YES,16550,YES,0.55,1.5,861150,125,125,0.85,0.95,22525,28425,N,15325,N,-0.17,-0.3,283050,175,150,0.95,0.7,22850,9350,N,-7625,N,-0.68,-14.15,10005,15,-105,-14.65,-18.65,6090,-2325,8025,0.61
06-12-2024 12:55,-12.7,14375,-200,0,-11.4,-9,11225,3475,N,-2725,Y,0.14,-3.55,568825,-50,100,-3.15,-3.1,25100,-38075,N,15225,N,-0.14,3.7,167825,-50,-175,3.3,3.4,23300,2925,Y,10725,N,-0.36,2.15,4470,-60,0,-2.5,-6.9,5370,645,1260,0.21
06-12-2024 13:00,4.1,18975,100,50,1.3,-0.05,11425,275,N,25,N,0.12,0.5,554975,100,275,-0.35,-0.3,21300,17825,Y,15000,N,-0.19,-2.1,233975,-400,550,-0.9,-1,21100,-9175,Y,-375,N,-0.45,-31.3,4815,-15,0,-21.4,-27.95,4800,1815,-3240,0.18
06-12-2024 13:05,10.45,14025,0,50,13.2,10.9,11225,8075,N,-7900,Y,0.14,5.75,548300,575,475,5.4,5.4,24975,11100,N,-55875,Y,-0.12,-5.75,172875,-3400,125,-4.85,-4.9,19950,-2500,N,4675,N,-0.37,17.8,5160,-60,60,14.45,11,5880,-1545,1365,0.23
