last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
12-02-2024 12:55,15,30925,-25,3375,15.05,15,11150,2600,-6175,0.76,4.65,1280175,475,0,4.65,4.7,28300,-90900,-61375,0.37,-5.3,199625,-425,225,-5.15,-5.05,30125,-10375,10925,-0.31,,,,,,,,,,
12-02-2024 13:00,-19.4,43050,0,0,-16.75,-17.4,12525,3475,7025,0.98,-8.2,1680600,-850,-250,-7.3,-7.35,30225,825,66125,0.46,9.85,339025,100,-75,8.6,8.5,30250,5425,-3900,-0.48,,,,,,,,,,
12-02-2024 13:05,4,23100,-25,0,1.3,1.2,6300,17800,-3400,0.46,4.25,932900,1075,-1075,4,3.95,16150,-425,-9400,0.21,-0.8,304675,-525,25,-1,-1.25,16750,-4900,8925,-0.32,,,,,,,,,,
12-02-2024 13:10,-12.65,27125,50,650,-12.1,-12,11050,-4925,5325,0.44,0,0,0,0,0,0,0,0,0,0,5.05,236750,4600,525,4.8,4.9,26250,13125,3200,-0.17,,,,,,,,,,
12-02-2024 13:15,4.6,27625,-150,-100,5.5,7,11375,400,-5800,0.51,-1.4,248700,225,75,-1.8,-1.8,5700,13900,2225,0.04,-3.15,298775,-75,-450,-2.9,-3,26700,6025,12875,-0.29,,,,,,,,,,
12-02-2024 13:20,-5.5,27300,-25,-500,-10.2,-10.15,13475,3625,-3950,0.39,-1,1510275,50,-225,-1,-1,29900,-3800,-35400,0.2,0.4,282975,-875,-300,1.75,1.65,28250,-9150,3450,-0.16,,,,,,,,,,
12-02-2024 13:25,-10,49725,-100,0,-9.8,-10.2,12250,-10925,4325,0.55,-6.45,1567900,-2050,-75,-5.95,-5.95,31225,-57900,44175,0.16,10.4,336900,-25,275,9.9,9.9,26050,5125,-22150,-0.1,,,,,,,,,,
12-02-2024 13:30,18.35,23325,150,200,12.9,13.7,12225,4450,-4875,0.32,8.6,1561400,1375,500,8.45,8.45,28850,10775,-68650,0.22,-12.05,296800,-25,825,-12.05,-12,27925,-1675,2125,-0.18,,,,,,,,,,
12-02-2024 13:35,14.1,40675,-50,75,13.25,11.65,13175,-1500,6950,0.78,5.2,1742425,-425,825,4.95,5,28525,-18500,-21975,0.33,-6.5,311550,-75,-25,-6.05,-6,29625,7225,54925,-0.35,,,,,,,,,,
12-02-2024 13:40,8.6,16300,0,-50,4.4,5,13400,6700,17875,0.33,2.45,1249975,25,-425,2.3,2.25,33975,13950,-8875,0.27,-2.15,233800,75,325,-2.8,-2.65,32350,21200,-19200,-0.3,,,,,,,,,,
12-02-2024 13:45,-1,29175,50,-225,3.15,-0.75,14650,-5675,750,0.55,-2.3,1427950,3550,-875,-1.95,-2,29375,33250,21175,0.29,1.9,350000,-175,-1175,2,1.9,32475,-12350,3500,-0.4,,,,,,,,,,
12-02-2024 13:50,-1,16300,275,125,-3.9,-1,9825,4050,-3125,0.32,1.55,841100,250,-650,1,1,30550,16950,-3875,0.15,-1.6,177725,-50,125,-1.4,-1.15,22675,-7650,-1875,-0.18,,,,,,,,,,
12-02-2024 13:55,56.5,242725,-50,-100,56.35,60.55,13925,-35150,-100725,7.05,28.2,4998650,-450,-200,28.75,28.75,28575,-5825,-447925,1.72,-31.05,922775,-700,275,-31.55,-31.5,27600,-30250,5575,-1.91,,,,,,,,,,
12-02-2024 14:00,29.75,225650,250,125,31.5,29.2,20575,160175,8375,7.84,15.45,5874975,-25,-50,15.15,15.25,24725,-4575,14400,2.68,-13.65,2044350,-75,1025,-12.75,-12.7,32475,42375,18175,-5.66,,,,,,,,,,
12-02-2024 14:05,-10.1,205625,50,-125,-13.55,-12.85,17975,-2325,10750,7.26,-3.85,4625600,-100,-675,-4.1,-4.25,25300,16575,120350,2.25,4.3,2313175,175,-975,4.45,4.35,33900,98100,44275,-5.8,,,,,,,,,,
12-02-2024 14:10,-0.25,81150,25,25,4.65,4,13725,-4675,6925,2.36,2.3,2673650,-1500,-75,2.7,2.75,26375,-23825,-13050,1.13,0.3,1234300,-75,-1175,0.2,0.35,25775,-14025,36875,-2.39,,,,,,,,,,
12-02-2024 14:15,22.8,137375,25,-50,22.4,21.4,11975,12050,-18950,4.6,11.7,4618675,50,725,13.1,13.05,24025,-51675,-47875,2.24,-9.85,2024750,-350,150,-10.75,-10.95,28800,39325,21250,-4.15,,,,,,,,,,
12-02-2024 14:20,-18.35,105825,-225,0,-12.4,-15.1,18425,4400,40575,3.21,-7.7,2787450,50,0,-6.4,-6.2,28475,975,121375,1.3,5.8,1562600,-4900,150,4.4,4.45,32450,68425,30100,-2.8,,,,,,,,,,
12-02-2024 14:25,3.15,95125,125,25,0.65,3.15,14625,-20375,23975,2.69,-0.55,2078350,450,25,0.25,0.25,26175,12875,22025,0.9,1.7,1200650,-275,1675,0.75,0.55,27900,41675,28300,-1.88,,,,,,,,,,
12-02-2024 14:30,17.05,88175,450,175,19.95,16.05,15550,5950,30700,2.54,7,3322425,-250,-375,7.9,8,24475,-22200,-69900,1.48,-12.65,1950975,-75,300,-12.45,-12.3,26825,-55625,24700,-3.08,,,,,,,,,,
12-02-2024 14:35,-11,61625,-100,-25,-10.95,-9.25,15400,4875,3550,1.79,-6.95,2878400,350,100,-6.4,-6.4,30400,25375,83125,1.2,3.15,1870925,-275,-325,4.15,4.1,37125,56150,45950,-2.8,,,,,,,,,,
12-02-2024 14:40,10.4,97900,-25,100,13.2,14,15500,3925,66225,2.96,6.3,3387025,-350,-175,6.1,6.05,26175,-18350,-43325,1.44,-9.55,2509525,425,375,-9.7,-9.5,33850,-59150,57200,-3.72,,,,,,,,,,
12-02-2024 14:45,-7,113925,250,-75,-10,-8.85,16875,8050,-9225,3.2,-7.2,3323125,75,500,-7.9,-7.8,25775,-14850,50325,1.28,3.6,3354175,500,-150,4.2,4.1,32450,74100,39700,-4.39,,,,,,,,,,
12-02-2024 14:50,-31.05,105575,-900,-150,-28.2,-27,15600,-3900,63200,2.57,-13.9,3439450,275,300,-13.95,-13.85,28250,-100050,30700,1,11.05,3459800,250,1800,10.05,10.15,33675,-5575,-60775,-3.1,,,,,,,,,,
12-02-2024 14:55,6.4,37125,1175,-50,7.3,9.5,13325,13900,8250,0.8,3.4,2261550,5550,75,2.9,3.2,28425,29625,16350,0.62,-0.7,2235225,-175,-8675,-2.3,-2.2,35200,-35250,42175,-1.7,,,,,,,,,,
12-02-2024 15:00,12.75,74925,-850,-75,12.75,13.6,15250,-8075,54700,1.72,4.1,3112050,0,800,3.75,3.65,29075,35175,24475,0.91,-6.8,2484550,-25,-875,-6.7,-6.7,32900,13975,-22725,-1.95,,,,,,,,,,
12-02-2024 15:05,-3,68250,-250,100,-2.95,-1.15,14650,9400,5675,1.43,0,2443225,450,-575,0.25,0.2,28250,19725,9650,0.6,-4.5,1968200,50,50,-5.2,-5.2,29600,-94025,25125,-1.43,,,,,,,,,,
12-02-2024 15:10,-2.7,65200,25,500,-5.1,-5.4,17325,-356575,-89500,1.3,-2.8,1726700,-10025,250,-2.55,-2.25,29700,-30250,-34350,0.43,3.05,1476325,1200,-400,2.9,3.15,30125,-27225,-1125,-1,,,,,,,,,,
12-02-2024 15:15,-20.25,129950,100,475,-21.15,-18.5,15750,-34000,-3975,2.26,-10.7,2428725,-200,700,-10.65,-10.9,26675,-145075,-11150,0.48,8.7,2107325,0,-275,8.65,8.7,30825,61975,-168800,-1.11,,,,,,,,,,
12-02-2024 15:20,11,94525,0,-275,10.05,11,18125,22650,-675,1.5,7.05,2028925,475,425,6.75,6.9,27850,40925,-82500,0.36,-5.7,1768475,250,-150,-5.25,-5.3,30825,-97850,7300,-0.82,,,,,,,,,,
12-02-2024 15:25,-2.6,41725,225,-500,-1.65,0,9750,-6100,-3075,0.66,1.15,796050,-25,1050,1.2,1.15,11600,-32925,-71700,0.16,0.1,742800,150,-75,0.1,0.35,15175,-44725,-13975,-0.33,,,,,,,,,,
