last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
13-01-2025 13:25,39.65,7725,-105,-45,41.15,43.35,6030,1605,N,2595,N,-0.84,13-01-2025 13:25,-7.85,84150,75,0,-6.75,-6.8,33150,-150,N,1500,N,0.22
13-01-2025 13:30,0.85,11385,0,0,-1.25,-1.4,6495,2565,N,-2655,Y,-1.21,13-01-2025 13:30,8.3,127575,0,75,7.15,7,34875,6300,N,-5025,YES,0.38
13-01-2025 13:35,-40.55,7170,-60,135,-51.8,-43.05,5715,-1965,YES,-4350,Y,-0.84,13-01-2025 13:35,16,190200,150,0,15.05,15.15,39900,6675,N,-17175,YES,0.62
13-01-2025 13:40,-30.9,18660,0,-60,-21.9,-27.4,6795,-1365,N,8085,N,-2.63,13-01-2025 13:40,1.75,190875,300,-75,0.7,0.55,39525,4275,N,10950,Y,0.7
13-01-2025 13:45,-59.35,21780,-45,-120,-40,-46.1,7575,-3600,YES,19725,N,-3.5,13-01-2025 13:45,27.55,277725,-75,-75,28.2,28.35,45675,-600,Y,-26325,YES,1.19
13-01-2025 13:50,-1.7,14520,15,-105,12.05,3.5,7170,1395,N,1620,Y,-2.49,13-01-2025 13:50,-6.8,196950,0,225,-7.3,-7.8,39375,-9900,Y,8850,Y,0.93
13-01-2025 13:55,15,22995,120,90,14.95,23.9,6285,2955,N,4140,N,-3.46,13-01-2025 13:55,9.95,142275,75,1650,9.7,9.1,41400,3225,N,-4500,YES,0.66
13-01-2025 14:00,-20,10815,-60,195,-26.1,-29.85,6495,-345,YES,-20160,Y,-1.7,13-01-2025 14:00,-4.9,121050,-150,75,-2.45,-2.55,40500,-7200,Y,-12450,YES,0.58
13-01-2025 14:05,-18.7,19470,-45,0,-3.8,-3.8,10110,5715,N,1710,YES,-2.93,13-01-2025 14:05,3.2,183975,150,75,2.35,2.6,44325,15825,YES,-2100,N,0.81
13-01-2025 14:10,-26.3,31320,0,45,-25.1,-32.9,7455,-6930,YES,2490,N,-5.84,13-01-2025 14:10,0.25,185550,75,0,0.5,0.3,40725,-11550,Y,-8625,YES,0.9
13-01-2025 14:15,28.05,19650,0,0,33.9,25.35,6495,-21735,YES,615,Y,-3.17,13-01-2025 14:15,-3.4,99675,-150,-900,-5,-5,41850,4800,N,5100,N,0.41
13-01-2025 14:20,-51.45,10440,0,0,-28.9,-29.65,8910,7710,Y,-12105,Y,-1.84,13-01-2025 14:20,7.9,64950,-225,0,7,7,34275,525,Y,-5100,YES,0.29
13-01-2025 14:25,31.35,12150,1455,-330,30,27.6,6300,1245,YES,1755,N,-2.09,13-01-2025 14:25,-1,165375,525,225,0.35,0.55,40950,-3300,Y,-3975,N,0.78
13-01-2025 14:30,-50.8,33465,-1305,15,-50.8,-44.45,7425,-165,YES,22710,YES,-6.07,13-01-2025 14:30,31.75,300225,-225,0,29.35,29.8,37275,8625,N,-17700,YES,1.66
13-01-2025 14:35,-50.55,39000,75,30,-36.3,-33.25,8430,-7230,YES,-1620,Y,-7.57,13-01-2025 14:35,6.95,199425,0,0,8,7.3,37575,-8400,Y,4200,Y,1.23
13-01-2025 14:40,15.3,41565,0,-30,24.9,17.35,7410,-9915,YES,10500,N,-8.52,13-01-2025 14:40,-17.9,178275,75,-225,-17.5,-16.9,38475,-8250,N,3900,N,1.02
13-01-2025 14:45,17.15,40770,15,-15,21.25,23.65,8835,0,N,19125,N,-6.46,13-01-2025 14:45,-12.5,176925,-450,0,-12.65,-13.2,41700,-10200,Y,4950,N,0.84
13-01-2025 14:50,13,18435,0,0,11.7,18.3,6900,-945,YES,1620,Y,-2.64,13-01-2025 14:50,-0.4,149025,0,-75,-1.4,-1.3,38550,5175,N,-5625,YES,0.61
13-01-2025 14:55,41.5,26475,15,0,29.7,29.15,7965,-1770,YES,11430,N,-3.79,13-01-2025 14:55,-5.45,111450,0,-225,-2.5,-2.7,37125,150,Y,3150,N,0.52
13-01-2025 15:00,-69.15,16290,0,-210,-63.2,-70,6375,-7530,YES,720,Y,-2.28,13-01-2025 15:00,16.25,125325,675,-75,14.95,14.8,40425,-1350,Y,3075,N,0.6
13-01-2025 15:05,35,21105,90,780,28.4,27.6,6870,-975,N,6855,N,-3.05,13-01-2025 15:05,-19.25,93975,75,-375,-15.6,-15.45,43050,-14100,Y,-6150,YES,0.42
13-01-2025 15:10,27.05,25515,-15,-105,20.8,15.75,8055,-4020,YES,11040,N,-2.93,13-01-2025 15:10,-0.8,105600,-75,75,1.85,2,32850,7725,YES,-2475,N,0.44
13-01-2025 15:15,62.7,56055,-255,0,70,61.1,8295,5490,N,960,Y,-4.43,13-01-2025 15:15,-16.1,228300,-225,75,-16.2,-16.2,38925,-7575,Y,6825,N,0.8
13-01-2025 15:20,-42.95,29130,570,15,-40.45,-39.8,7755,-2040,YES,810,Y,-2.18,13-01-2025 15:20,5.2,201675,150,0,5.6,5.65,32250,9750,N,-5550,YES,0.62
13-01-2025 15:25,-27.95,51840,-360,165,-29.35,-27.9,11730,-30780,YES,-16275,Y,-4.91,13-01-2025 15:25,-2.6,251400,-75,0,-1.55,0.35,36150,-397425,Y,-31125,YES,0.79
