last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price
09-05-2025 12:10,8,27225,111,11.9,13.2,-64950,-1219.7,30225,145275,Y,34950,N,24111.19,24100.1,24108.1,24114.2,24088,09-05-2025 12:10,8.15,888075,354,8.05,8.05,-17625,-262.45,57375,-9300,YES,-24375,Y,261,269.15,270,255,274.15,09-05-2025 12:10,-3.7,1153800,356,-3.45,-3.6,26325,-229.05,65775,-4500,YES,32475,N,230.5,226.8,237.4,225.2,244.16
09-05-2025 12:15,-26.1,40800,123,-29.2,-32.2,38250,-1390.2,33450,-64875,YES,1950,Y,24111.09,24108.1,24082,24114.8,24080.2,09-05-2025 12:15,-16.5,808425,272,-16.2,-16.3,-12975,-266.55,52350,-10050,YES,47550,YES,269.3,252.8,269.8,251.75,273.97,09-05-2025 12:15,14,1245975,273,13.049999999999983,13.200000000000017,-76050,-245.95,64125,68175,YES,-58500,YES,226.6,240.6,240.9,226,244.04
09-05-2025 12:20,4.8,61575,168,-1.4,1,-82800,-1698.2,41625,34125,Y,-50925,Y,24110.77,24080.1,24084.9,24087,24061.6,09-05-2025 12:20,-0.95,1356150,322,-1.35,-1.6,7875,-261.65,60150,33225,Y,30975,N,252.3,251.35,253.65,242.75,273.46,09-05-2025 12:20,-1.55,2691225,324,-1.35,-1.35,18075,-265.45,61725,-33675,Y,-13050,Y,239.55,238,249.9,235,244.03
09-05-2025 12:25,2.3,24900,94,2,2.1,-5100,-1395.8,34200,-68850,YES,15675,YES,24110.7,24084.9,24087.2,24098,24079.4,09-05-2025 12:25,1.85,1056675,273,1.5,1.4,24900,-253.75,57825,-33450,YES,18525,N,250.5,252.35,258.4,249,273.15,09-05-2025 12:25,-3.2,1346400,282,-3.2,-3.3,-26775,-240.05,63675,44100,YES,31800,Y,239,235.8,240.05,228.5,243.92
09-05-2025 12:30,-26.3,41850,155,-22,-26.1,93600,-1234.2,40125,-12525,Y,-2250,Y,24110.47,24087.2,24060.9,24087.2,24060,09-05-2025 12:30,-13.95,995700,341,-14.55,-14.2,41325,-245.05,56550,-5700,Y,46050,YES,252.1,238.15,252.15,236.75,272.73,09-05-2025 12:30,12.75,1828725,351,12.75,12.949999999999989,-189225,-242.2,64125,50925,N,-77175,YES,235.8,248.55,249.45,235.8,243.91
09-05-2025 12:35,-0.9,47025,140,0,-0.1,40875,-1300.9,41250,-19800,YES,129900,YES,24110.19,24060.9,24060,24078.3,24055,09-05-2025 12:35,1.05,964125,339,1.6,1.6,77325,-247.55,56100,29100,Y,43500,N,239.05,240.1,246.7,237.5,272.31,09-05-2025 12:35,1.799999999999983,2005725,347,1.3499999999999943,1.0999999999999943,-7125,-258.7,59025,4350,N,-43275,Y,247.9,249.7,253.65,238.5,243.95
09-05-2025 12:40,-6.5,25425,127,-2.5,-8.3,33975,-908.5,35475,-15675,N,-3375,Y,24110.02,24060,24053.5,24070.9,24053.5,09-05-2025 12:40,-4.85,868275,254,-4.1,-3.85,49875,-239.3,56475,9750,N,40500,N,240.1,235.25,244.9,234.4,271.91,09-05-2025 12:40,4.099999999999994,1645125,259,4.099999999999994,4.099999999999994,67200,-256.45,60000,41850,YES,32850,Y,249.8,253.9,254.8,243,244.03
09-05-2025 12:45,15.5,60975,135,14.4,15,62250,-1149.8,36075,-9075,N,14250,N,24109.61,24053.5,24069,24069.8,24048.5,09-05-2025 12:45,8.25,1189500,246,7.7,7.7,-169575,-229.75,59100,26100,N,-31650,Y,235.5,243.75,243.75,233.1,271.36,09-05-2025 12:45,-11.55,1903500,241,-10.9,-11.25,-6825,-247.55,54825,-72900,Y,7200,N,253.3,241.75,256.75,241.05,244.09
09-05-2025 12:50,15.5,45750,116,17.1,18.8,8025,-1215.8,29100,8850,N,-6525,Y,24109.43,24069,24084.5,24091.2,24069,09-05-2025 12:50,8.85,1506900,229,8.95,8.8,-106575,-255.85,59325,-14025,YES,-32475,Y,243,251.85,254.25,242,270.89,09-05-2025 12:50,-8.85,1636725,228,-8.7,-8.8,-15225,-241.4,56550,-14850,YES,51000,Y,242.6,233.75,243.25,232.2,244.01
09-05-2025 12:55,-11.6,28125,116,-7.6,-8.2,-7800,-951.6,29700,13875,N,-7725,Y,24109.3,24086.6,24075,24088.1,24060,09-05-2025 12:55,-7.15,997275,204,-7.35,-7.25,74325,-236.9,56100,10950,Y,-11175,YES,252.7,245.55,252.75,237.1,270.52,09-05-2025 12:55,2.75,1463325,202,3.5500000000000114,3.450000000000017,-170775,-235.25,54150,-15375,Y,11475,N,233.3,236.05,247,232.35,243.98
