last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
04-04-2025 11:45,1.5,285150,171,98175,94725,0,-0.1,3450,-219.05,38700,-9675,Y,-11625,YES,283.5,285,296.85,279.05,245.11,04-04-2025 11:45,-0.9,1600425,180,1024125,822225,-1.05,-1.05,201900,-42.15,49800,26250,N,46875,N,44.7,43.8,45.55,41.05,72.32
04-04-2025 11:50,8.5,329625,170,86400,90375,8.25,8.35,-3975,-217.9,34875,-18300,Y,-19275,YES,285.5,294,302.6,283.8,245.59,04-04-2025 11:50,-3.05,1775700,180,821475,833625,-2.95,-2.9,-12150,-38.55,54150,-143025,YES,-6225,Y,43.25,40.2,43.7,38.1,71.72
04-04-2025 11:55,-11.85,235275,172,87600,81300,-12.1,-12.15,6300,-216.75,38325,-6975,N,14325,Y,294,282.15,298.75,274.05,245.86,04-04-2025 11:55,2.25,1597650,180,836400,908025,2.6,2.65,-71625,-40.2,50400,27750,Y,-28650,Y,40.4,42.65,44.2,39.6,71.23
04-04-2025 12:00,13,162375,164,107475,80250,12.15,12.2,27225,-217.65,37125,18600,YES,13275,N,281.3,294.3,294.3,280,246.07,04-04-2025 12:00,-3.35,1145475,181,976350,989250,-3.6,-3.6,-12900,-43.05,57000,11175,N,97950,YES,42,38.65,42.65,38.6,70.86
04-04-2025 12:05,-8.6,256125,172,106725,87675,-9.75,-9.7,19050,-218.8,42750,6975,N,7275,N,294.6,286,300.55,280.2,246.4,04-04-2025 12:05,2.2,1273725,179,1064250,964800,2.45,2.45,99450,-42.1,63225,125775,Y,-10950,Y,38.45,40.65,41.25,37.2,70.45
04-04-2025 12:10,-1.25,84675,151,82725,75975,-1.3,-1.3,6750,-177.1,31275,-6450,Y,5100,N,286.5,285.25,288.95,282,246.5,04-04-2025 12:10,-0.1,739125,181,1173300,1098375,-0.1,-0.05,74925,-43.55,53025,15000,N,92850,YES,40.6,40.5,41.7,39.8,70.22
04-04-2025 12:15,-14.25,186825,161,95625,78975,-13.9,-14.1,16650,-189.7,36750,-5025,N,7200,N,285.25,271,290.1,270.6,246.68,04-04-2025 12:15,3,1038675,180,889200,1113975,3.05,3,-224775,-40.55,54450,-54300,YES,-94050,Y,40.6,43.6,44.05,39.3,69.93
04-04-2025 12:20,3.8,186750,157,107850,80175,2.35,2.45,27675,-191.55,46200,-3300,N,-5550,YES,271.6,275.4,284,268.6,246.84,04-04-2025 12:20,-1.6,1133625,181,1058475,1079400,-1.45,-1.45,-20925,-43.45,60075,-73875,YES,27000,YES,43.5,41.9,43.6,39.85,69.61
04-04-2025 12:25,13.25,175650,166,90600,79350,12.6,12.55,11250,-200.85,41100,9000,N,-10800,YES,274.4,287.65,288.3,268,247,04-04-2025 12:25,-3.8,1113900,180,1033575,1055025,-3.6,-3.6,-21450,-42.2,60525,-50925,Y,112725,YES,41.95,38.15,43.7,38.15,69.29
04-04-2025 12:30,2.3,197775,170,84825,109275,3.95,3.8,-24450,-204.4,40725,-1800,Y,-3450,N,288.35,290.65,292.75,280,247.23,04-04-2025 12:30,-0.6,1237875,180,995175,989175,-0.75,-0.75,6000,-36.75,60225,41400,Y,47325,N,38.05,37.45,40.05,37.35,68.91
04-04-2025 12:35,3.75,310575,175,77850,93525,4.1,4.05,-15675,-219.1,37425,39825,YES,-8025,YES,290.7,294.45,307.85,290.7,247.7,04-04-2025 12:35,-0.1,1725450,180,1106850,972450,0,0,134400,-36.3,55650,41625,N,-116550,Y,37.45,37.35,37.7,34.65,68.36
04-04-2025 12:40,-4.45,116625,153,55950,70800,-4.1,-4.15,-14850,-185.6,36825,10575,N,12750,Y,295.2,290.75,300,287.75,247.85,04-04-2025 12:40,-0.25,856950,181,908400,836700,-0.3,-0.3,71700,-33.9,50700,-40350,YES,23325,YES,37.1,36.85,37.75,35.85,68.1
04-04-2025 12:45,7,162825,149,69750,112800,7.1,6.95,-43050,-193.2,36750,3225,N,-9825,YES,292,299,299.25,290.05,248.07,04-04-2025 12:45,-1.35,697575,181,866475,787725,-1.3,-1.3,78750,-36.4,47175,-20550,N,35025,N,36.75,35.4,36.9,35.15,67.89
04-04-2025 12:50,-2.6,192000,149,88425,110250,-2.25,-2,-21825,-208.2,39225,-2175,Y,-14250,YES,300.2,297.6,306.2,292,248.36,04-04-2025 12:50,0.05,1043775,181,1376325,967500,0.05,0.05,408825,-37.9,53700,-31050,YES,10575,N,35.35,35.4,36.55,33.85,67.57
04-04-2025 12:55,-8.75,160575,165,75600,78300,-9.15,-9.15,-2700,-209.95,38550,-26550,Y,15900,Y,298.2,289.45,304.95,285,248.57,04-04-2025 12:55,1.15,810450,181,931350,1059525,1.15,1.2,-128175,-36.55,51225,148350,Y,-30375,Y,35.25,36.4,37.4,34.1,67.34
04-04-2025 13:00,11.2,218850,167,70950,85725,11,10.8,-14775,-207.45,37950,-6825,N,-12150,YES,289,300.2,301.9,282.3,248.83,04-04-2025 13:00,-2.9,1052025,182,1430925,993225,-3.05,-3.05,437700,-37,52800,-31500,YES,63000,YES,36.3,33.4,37.35,32.95,67.03
04-04-2025 13:05,-20.6,193575,165,99150,75300,-20.4,-20.3,23850,-204.15,36075,-13800,Y,7500,N,300.2,279.6,300.2,276.85,249.02,04-04-2025 13:05,4,1049625,180,1078275,969300,4.05,4.15,108975,-37.5,59100,3150,Y,-136950,Y,33.45,37.45,38.35,33.4,66.73
04-04-2025 13:10,25.75,255675,175,78225,94050,26.3,26.1,-15825,-189.85,42900,10350,YES,-18450,YES,279.8,305.55,309.15,279.75,249.33,04-04-2025 13:10,-5.05,1275375,181,1052625,1186875,-5.25,-5.3,-134250,-37,58950,-108975,YES,56550,YES,37.25,32.2,37.3,31.85,66.36
04-04-2025 13:15,-11.1,202950,167,70950,80850,-10.55,-10.6,-9900,-218.15,33975,-4950,Y,14100,Y,306.7,295.6,307.2,293.1,249.62,04-04-2025 13:15,1.35,1027125,180,1075725,1086075,1.3,1.25,-10350,-29.6,58350,84750,Y,6000,N,32.15,33.5,33.95,31.95,66.05
04-04-2025 13:20,2.2,143025,150,74925,94500,2,2,-19575,-203.55,42825,8400,N,-4050,YES,294.75,296.95,300.05,288.45,249.8,04-04-2025 13:20,-0.15,827250,181,1259475,1302900,-0.15,-0.15,-43425,-36.75,67350,47625,N,7425,N,33.45,33.3,34.6,32.3,65.81
04-04-2025 13:25,0.55,135825,143,61425,85050,0.45,0,-23625,-199.95,35325,2775,Y,-1275,N,296.95,297.5,305.9,295.55,249.99,04-04-2025 13:25,-0.65,751425,181,1209225,1230225,-0.4,-0.4,-21000,-32.6,51825,99000,Y,-8550,Y,33.25,32.6,33.5,31.6,65.59
04-04-2025 13:30,7.65,133800,159,93900,80250,7.65,7.65,13650,-203.1,38400,-5550,Y,-15600,YES,297.5,305.15,308.45,295.4,250.18,04-04-2025 13:30,-1.3,672900,181,1383750,1299525,-1.35,-1.3,84225,-33,58350,-105225,YES,16200,YES,32.45,31.15,32.9,30.95,65.39
04-04-2025 13:35,7.3,356025,175,85200,90975,7.1,7.05,-5775,-226,37275,525,N,8775,Y,305.85,313.15,322.5,302.05,250.79,04-04-2025 13:35,-1.2,1458225,180,1248825,1388250,-1.15,-1.2,-139425,-30.95,67875,2335950,Y,33675,N,31.15,29.95,31.6,29.1,64.95
04-04-2025 13:40,29.9,506925,178,64950,88650,29.35,29.6,-23700,-246.9,43275,15900,N,-55575,YES,313.15,343.05,351.75,309.3,251.83,04-04-2025 13:40,-3.1,1805625,181,1653600,1805250,-3.15,-3.2,-151650,-31.35,61575,-48450,YES,6000,N,29.85,26.75,30.35,26.35,64.38
04-04-2025 13:45,4.6,399750,176,112125,82650,4.5,4.45,29475,-270.35,46275,-22575,Y,20850,Y,346.35,350.95,363,342,252.89,04-04-2025 13:45,-0.5,5119350,179,1354425,2104050,-0.4,-0.45,-749625,-27.5,65250,32850,Y,-65475,Y,26.6,26.1,27,25.25,62.79
