last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,prev_open,prev_close
11-11-2024 12:15,-21.65,-19.45,-19.95,18200,-775.15,13325,-4125,YES,1575,Y,0.56,24337.3,24315.65,11-11-2024 12:15,-10.6,-10.65,-10.6,11875,-165.05,22925,-5775,YES,20800,N,220.45,209.85,227.2,207.6,0.34,11-11-2024 12:15,6.55,6.6,6.65,35000,-63.55,28000,26550,YES,2900,Y,63.7,70.25,71.55,60,-0.69,11-11-2024 12:15,24253.7,24235
11-11-2024 12:20,-24.9,-25.05,-25.35,57875,-887,18825,-39250,YES,13350,N,0.41,24311.9,24287,11-11-2024 12:20,-16.2,-15.65,-15.7,-18450,-168.35,26125,7950,N,8225,N,210.2,194,216.15,185.05,0.31,11-11-2024 12:20,9.25,8.7,8.7,84775,-77.1,28325,17700,N,-54275,YES,70,79.25,86.55,67.5,-0.95,11-11-2024 12:20,24235.25,24217.15
11-11-2024 12:25,14.6,16.8,17.9,-21800,-889.55,17075,15025,Y,-4600,Y,0.17,24288.4,24303,11-11-2024 12:25,9.85,8.95,9.25,-21925,-161.4,23275,15275,N,-3725,Y,193.7,203.55,208.95,189.85,0.22,11-11-2024 12:25,-5.55,-5.15,-5.15,23325,-73.2,27800,6750,N,47550,Y,79.2,73.65,81.75,70.1,-0.35,11-11-2024 12:25,24216.85,24229
11-11-2024 12:30,-0.95,-3.45,-4.2,-25925,-844.9,20975,12600,N,45450,YES,0.32,24303,24302.05,11-11-2024 12:30,-2.35,-4.8,-4.85,5925,-162.5,21150,-12250,YES,13500,N,204,201.65,211.55,196,0.23,11-11-2024 12:30,-0.95,-0.1,-0.2,46800,-67.9,30575,-6900,Y,-5900,YES,73.05,72.1,74.9,66.2,-0.39,11-11-2024 12:30,24228.3,24228.4
11-11-2024 12:35,21.55,21.25,21.15,-47850,-775.25,15475,9700,N,-2175,Y,0.27,24304,24325.55,11-11-2024 12:35,10.85,11.4,11.4,-32525,-169.1,25400,11200,Y,7000,N,201.3,212.15,216.5,198.7,0.29,11-11-2024 12:35,-7.9,-7.4,-7.5,27000,-68.1,24850,-5600,N,15025,Y,72.7,64.8,73.6,62.8,-0.37,11-11-2024 12:35,24229.9,24243.8
11-11-2024 12:40,2.6,5.05,4.45,14800,-564.9,11925,1900,YES,46000,YES,0.16,24325.55,24328.15,11-11-2024 12:40,2.45,0.9,1,19075,-168.9,23575,-2475,YES,-900,Y,211.25,213.7,219.65,208,0.28,11-11-2024 12:40,-1.5,-0.7,-0.7,42750,-63.3,22600,24225,YES,5475,N,64.85,63.35,66.7,61.4,-0.23,11-11-2024 12:40,24243.9,24244.45
11-11-2024 12:45,-11.75,-17.45,-11.9,-28950,-632.15,14100,-8200,YES,12075,N,0.27,24328.05,24316.3,11-11-2024 12:45,-9.05,-8.2,-8.15,14175,-169.05,25300,-9725,YES,-8425,Y,213.7,204.65,223.5,203.55,0.3,11-11-2024 12:45,3.7,3.15,3.25,25650,-58.65,30850,-19800,Y,2225,YES,63.35,67.05,67.3,57,-0.39,11-11-2024 12:45,24244.35,24234.25
11-11-2024 12:50,-0.75,-0.45,-4.5,25650,-808.05,12450,3600,N,2125,Y,0.11,24311,24310.25,11-11-2024 12:50,-0.6,-0.4,-0.3,-17150,-152.8,20075,525,N,19850,YES,204.45,203.85,210.15,200,0.15,11-11-2024 12:50,1.3,1.3,1.3,-1175,-63.6,26875,9975,YES,28925,Y,67.1,68.4,71.3,65.55,-0.28,11-11-2024 12:50,24234.2,24234.35
11-11-2024 12:55,0,-3,-0.3,34250,-761.05,11800,52600,Y,-2750,Y,0.09,24310,24310,11-11-2024 12:55,-0.4,0,0.15,-10150,-161.1,22100,21050,Y,6325,N,203.85,203.45,204.3,194.2,0.12,11-11-2024 12:55,-0.85,-0.5,-0.55,35425,-67.55,29725,-4375,Y,30825,N,68.95,68.1,73.4,67.8,-0.23,11-11-2024 12:55,24233.85,24233.2
11-11-2024 13:00,10.9,5.7,7.95,5975,-1138,11100,275,YES,4400,N,0.07,24307.05,24317.95,11-11-2024 13:00,3.55,3.6,3.3,-13825,-158.25,27375,18975,N,-15575,Y,203.45,207,209.15,196.65,0.12,11-11-2024 13:00,-1.4,-1.45,-1.45,32575,-64.15,30375,8175,N,-17250,YES,68.1,66.7,72.25,65.5,-0.19,11-11-2024 13:00,24232.8,24233.9
