last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
30-12-2024 14:25,23784.4,-30025,0.4,12775,28175,Y,-300,Y,-1.2,23791,23784.4,30-12-2024 14:25,35.4,-23250,-0.05,48450,3150,Y,64800,YES,-0.14,30-12-2024 14:25,373.95,2625,-0.25,43950,-23025,Y,7125,Y,0.51
30-12-2024 14:30,23820.05,-39825,-1.1,18250,1225,YES,16575,N,-2.26,23785.75,23820.05,30-12-2024 14:30,38.7,-52800,-0.1,49725,137400,Y,-33750,Y,-0.2,30-12-2024 14:30,345.95,8850,-0.1,41625,7950,YES,19800,N,0.69
30-12-2024 14:35,23835,27450,2.9,14975,1575,N,-8600,Y,-1.1,23820.05,23835,30-12-2024 14:35,38.65,-24150,0.05,49200,6300,N,2775,YES,-0.19,30-12-2024 14:35,333,-6825,0.25,33600,-12000,Y,-14700,YES,0.56
30-12-2024 14:40,23827,-30275,-0.4,15475,-24775,YES,19925,YES,-0.8,23835,23827,30-12-2024 14:40,36.5,-121275,7.11E-15,65700,-205800,YES,90525,YES,-0.18,30-12-2024 14:40,332.9,-5250,-0.25,37575,15825,YES,-750,N,0.76
30-12-2024 14:45,23830,-97825,1.8,17625,3150,Y,-3150,Y,-0.84,23827,23830,30-12-2024 14:45,37.65,74100,0,54675,117450,Y,-1575,Y,-0.23,30-12-2024 14:45,330.1,3825,-0.25,39900,-9900,Y,21825,Y,0.52
30-12-2024 14:50,23834,-60625,-2.1,14200,9200,N,-2925,N,-0.79,23831,23834,30-12-2024 14:50,37.35,-59925,-0.05,57525,21900,N,15600,N,-0.18,30-12-2024 14:50,325.25,13275,0.15,41025,3225,N,-14925,YES,0.45
30-12-2024 14:55,23860,-26675,2,17525,7050,N,-7900,Y,-1.34,23834,23860,30-12-2024 14:55,37.55,-201900,-7.11E-15,50550,-244500,YES,-32625,Y,-0.23,30-12-2024 14:55,302.95,-27825,-0.1,50400,-3150,Y,38700,Y,0.52
30-12-2024 15:00,23823.2,9775,-3.35,19125,-9625,YES,7425,N,-1.74,23860,23823.2,30-12-2024 15:00,32.9,-62700,-0.05,52350,-163875,Y,-23325,N,-0.56,30-12-2024 15:00,333.9,2250,0,45300,44700,YES,-42000,YES,1.28
30-12-2024 15:05,23810.65,33375,-1.1,17575,29800,Y,-8150,Y,-1.05,23821,23810.65,30-12-2024 15:05,31.1,-493050,-0.05,56625,54000,Y,-39825,Y,-0.47,30-12-2024 15:05,342,-20850,0,51975,-34650,Y,-23700,N,0.84
30-12-2024 15:10,23796.8,-24675,-2,19475,-33425,YES,4000,N,-3.47,23810.65,23796.8,30-12-2024 15:10,28.35,-728325,0.05,66975,145425,Y,-4500,YES,-0.69,30-12-2024 15:10,356.8,-5325,0,41550,-7125,YES,9150,Y,1.04
30-12-2024 15:15,23829,-104150,5.85,15900,21425,Y,1000,Y,-1.83,23793.85,23829,30-12-2024 15:15,31.25,-578250,-3.55E-15,61575,80850,N,-48750,Y,-0.34,30-12-2024 15:15,319.4,-33825,0,42825,-5025,N,3450,N,0.93
30-12-2024 15:20,23833.85,-57075,0.55,13875,11200,N,6350,N,-0.9,23829.15,23833.85,30-12-2024 15:20,32.15,-499350,-0.05,55575,-282150,YES,-65325,Y,-0.32,30-12-2024 15:20,318,-14625,-0.45,42300,-11250,Y,-2550,YES,0.41
30-12-2024 15:25,23828,-7700,0.25,17575,-56775,YES,-80325,Y,-1.34,23831.5,23828,30-12-2024 15:25,29.85,-262125,0.45,59775,-669600,YES,-158475,Y,-0.31,30-12-2024 15:25,321.05,-94875,-0.95,43950,-170700,Y,-68100,YES,0.39
