last_traded_time,ltp,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-11-2024 14:15,23375.4,53275,-1.05,9325,4575,N,-1000,Y,0.07,23364.35,23375.4,21-11-2024 14:25,2.9,2555325,0,97650,35775,N,190475,N,-0.17,21-11-2024 14:10,66.7,-19425,0.05,41325,78125,YES,7775,Y,-0.31
21-11-2024 14:20,23370,142925,-2.65,16025,125,YES,2750,N,0.04,23375.4,23370,21-11-2024 14:30,1.85,5762200,2.22E-16,95300,-370500,YES,6725,N,-0.27,21-11-2024 14:15,61.6,106325,-0.05,39625,51700,N,55050,Y,-0.39
21-11-2024 14:25,23365.8,96900,1.2,16150,-3300,YES,3625,N,0.05,23370,23365.8,21-11-2024 14:35,1.5,11511475,2.22E-16,94150,48500,Y,-726600,Y,-0.24,21-11-2024 14:20,61.6,150475,0.05,50100,-23025,Y,-36025,YES,-0.61
21-11-2024 14:30,23355,30125,0.5,11275,-6025,YES,-1150,Y,-0.02,23365.5,23355,21-11-2024 14:40,1.65,8063675,0,88800,220675,Y,-124450,YES,-0.33,21-11-2024 14:25,62.65,145875,-7.11E-15,46950,-25625,Y,-35175,N,-0.38
21-11-2024 14:35,23352.5,2975,-3,11100,16350,Y,-2900,Y,-0.03,23358.75,23352.5,21-11-2024 14:45,1.35,7936725,-2.22E-16,86825,-842750,YES,581125,YES,-0.4,21-11-2024 14:30,67.6,247100,0,43800,-137925,Y,-149100,YES,-0.77
21-11-2024 14:40,23368.25,40800,-2.95,18800,14475,N,-75,N,-0.05,23352.5,23368.25,21-11-2024 14:50,1.35,13687850,-2.22E-16,91775,34825,Y,-520175,Y,-0.3,21-11-2024 14:35,69.4,52375,0,39875,-42325,YES,68650,Y,-0.41
21-11-2024 14:45,23349.8,12225,1.05,14825,-19600,YES,1275,N,-0.11,23368.3,23349.8,21-11-2024 14:55,1.05,28998725,2.22E-16,91300,-2053850,YES,-158750,YES,-0.4,21-11-2024 14:40,61.1,-28275,-0.05,39475,-1585400,Y,16125,N,-0.72
21-11-2024 14:50,23345.85,-44675,-1.3,13700,5400,Y,2750,N,-0.11,23349.8,23345.85,21-11-2024 15:00,0.45,51927150,-1.11E-16,100225,561875,Y,835375,YES,-0.51,21-11-2024 14:45,64.6,-100000,-0.05,37550,-482325,YES,-133625,YES,-0.67
21-11-2024 14:55,23343.75,141950,0.95,16875,-32825,YES,13825,N,-0.74,23345.85,23343.75,21-11-2024 15:05,0.45,161516700,-5.55E-17,72675,-3628000,YES,-653475,Y,-0.3,21-11-2024 14:50,62.35,11600,-0.05,36150,-156975,YES,99025,Y,-0.41
21-11-2024 15:00,23331.5,-29150,0.95,15725,-800,Y,-1025,Y,-0.66,23343.6,23331.5,21-11-2024 15:10,0.25,322579325,0,85375,-4964150,YES,1607500,YES,-0.27,21-11-2024 14:55,61.25,37800,-7.11E-15,46175,-3132450,Y,-67525,YES,-0.47
21-11-2024 15:05,23346.8,-20950,-0.45,15000,-7750,YES,2000,N,-0.67,23331.5,23346.8,21-11-2024 15:15,0.1,1039277050,0,96825,-15021025,YES,4209900,YES,-0.18,21-11-2024 15:00,60.2,34550,0.05,42450,-1893000,YES,-163375,YES,-1.21
21-11-2024 15:10,23355,80900,-1.05,18625,4300,N,-19175,Y,-0.15,23347.7,23355,21-11-2024 15:20,0.05,1263871200,1.39E-17,119850,-19150850,YES,-4988325,Y,-0.14,21-11-2024 15:05,52.9,-16050,7.11E-15,39050,-1844050,YES,-119450,Y,-0.79
21-11-2024 15:15,23355.65,355325,-0.05,14150,-2800,YES,-50,N,0.08,23353.8,23355.65,21-11-2024 15:25,0.05,-259214475,0,111700,0,Y,-623325,YES,-0.02,21-11-2024 15:10,52.3,-96800,0,47900,-1410275,YES,-74050,Y,-0.91
21-11-2024 15:20,23354.55,-93425,0.35,15750,-7500,YES,12325,N,0.06,23355.95,23354.55,,,,,,,,,,,21-11-2024 15:15,51.25,-244500,-0.05,46000,-1628800,Y,-272775,YES,-0.79
21-11-2024 15:25,23350.85,-60800,0.5,20325,-48125,YES,-33975,Y,-0.09,23355,23350.85,,,,,,,,,,,21-11-2024 15:20,50.3,-894525,-0.05,43650,-5011575,Y,-192000,Y,-0.39
,,,,,,,,,,,,,,,,,,,,,,21-11-2024 15:25,49.95,1648025,0,60075,-13177575,Y,-297225,YES,-0.29
