last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
29-04-2025 12:55,-4.5,-2.4,-0.7,1350,-858.4,28050,-9825,YES,72000,YES,-0.22,24454.9,24454.2,29-04-2025 12:55,0.5,0.5,0.45,181200,-29.3,78975,73650,Y,44925,YES,-0.21,29-04-2025 12:55,2.85,2.45,2.55,13725,-147.7,39525,21375,YES,3225,N,0.09
29-04-2025 13:00,8.7,11.3,7.9,-2775,-645.8,31650,20700,Y,-12375,Y,-0.14,24454.2,24463.5,29-04-2025 13:00,1.1,1.1,1.05,-332325,-26.6,81225,-156150,YES,-30825,Y,-0.23,29-04-2025 13:00,-5.1,-5.25,-5.45,525,-143.05,41250,23175,N,-375,YES,0.07
29-04-2025 13:05,-12,-11.1,-11,15075,-828,32100,23025,N,-3975,N,-0.24,24462,24450,29-04-2025 13:05,-1.8,-1.85,-1.8,-611550,-26.2,85050,5475,Y,-19875,N,-0.14,29-04-2025 13:05,6.4,6.6,6.75,24900,-150,43200,2850,Y,-4575,YES,0.11
29-04-2025 13:10,-1.7,0,2,-29550,-711.2,23700,3825,N,-525,N,-0.07,24451.9,24450.1,29-04-2025 13:10,-0.4,-0.4,-0.35,-414900,-25.4,78450,-62850,YES,126225,YES,-0.1,29-04-2025 13:10,-2.6,-2.6,-2.55,1875,-145.35,33300,36150,YES,9750,N,0.05
29-04-2025 13:15,1.1,1.7,2,-20400,-758.7,24825,-4725,YES,-4575,Y,-0.1,24453.9,24454.1,29-04-2025 13:15,-0.65,-0.65,-0.65,264525,-25,71025,-75225,YES,36450,N,-0.18,29-04-2025 13:15,-2.1,-2.05,-2,7200,-147.65,35400,-22050,Y,-6375,YES,0.08
29-04-2025 13:20,12.6,11.7,11.5,20700,-811.4,24975,5175,N,-8475,Y,-0.06,24454.1,24466.7,29-04-2025 13:20,1.05,1,1,-214725,-25.2,71700,127800,Y,11700,N,-0.12,29-04-2025 13:20,-11.1,-10.3,-10.35,-11175,-141.35,35850,-9825,N,35100,Y,0.01
29-04-2025 13:25,1,-2.6,-2.8,-31050,-617.5,31200,19125,N,-6525,N,0,24466.7,24465,29-04-2025 13:25,0.45,0.45,0.45,-414825,-26.4,82125,-81075,YES,-36675,Y,-0.23,29-04-2025 13:25,1.75,2.15,2.15,-15525,-138.05,43725,12750,YES,-19500,YES,-0.05
29-04-2025 13:30,4,4.9,3.9,20850,-578.7,22275,2625,YES,-900,N,-0.02,24465,24469,29-04-2025 13:30,0.6,0.6,0.6,335175,-24.8,70425,24975,Y,-4050,YES,-0.13,29-04-2025 13:30,-3.4,-3.2,-3.2,30225,-138,40125,4125,N,31275,Y,-0.01
29-04-2025 13:35,-2,-5,-2.4,30375,-706.9,26925,-525,YES,16650,N,-0.05,24469,24464,29-04-2025 13:35,-0.45,-0.5,-0.5,-268050,-26,67050,68250,Y,-8175,Y,-0.09,29-04-2025 13:35,2.05,2,2.05,-23100,-131.15,39300,7050,N,-24000,YES,0.01
29-04-2025 13:40,-15,-14.9,-13.5,-18075,-436.5,23325,-11625,YES,-28125,Y,-0.06,24467,24452.2,29-04-2025 13:40,-1.5,-1.6,-1.6,-132825,-24.4,72150,-117600,YES,79425,YES,-0.12,29-04-2025 13:40,8.35,8.7,8.6,-2925,-136.25,41025,26325,N,-32175,YES,0.03
29-04-2025 13:45,10.2,7.7,9,9900,-429.7,27150,525,N,2325,YES,-0.08,24452.8,24463,29-04-2025 13:45,0.65,0.65,0.7,278100,-25.25,81225,36675,Y,900,Y,-0.1,29-04-2025 13:45,-5.4,-5.6,-5.65,-15900,-144.35,39300,-11250,Y,22800,Y,0.03
