last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,open_1,close_1,high,low,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,datetime,open,high,low,close
03-04-2025 11:45,-3.25,28050,91,-3.25,0,134700,-475.5,23175,-4050,YES,3375,N,23342.75,23379.4,23376.15,23382.85,23372.05,03-04-2025 11:45,-0.35,2856600,181,-0.35,-0.45,-3675,-66.45,54900,-56025,YES,52200,YES,77.6,77.25,78.45,73.6,73.02,03-04-2025 11:45,0.2,7565700,181,0.15,0.15,-6781725,-19.05,138300,453600,YES,-414525,YES,4.55,4.75,4.95,4.5,23.11,03-04-2025 11:45,23282.75,23286,23280.25,23284
03-04-2025 11:50,10.2,16725,78,10,6.85,-120900,-515.35,25650,900,N,-4275,Y,23342.97,23376.15,23386.35,23387.5,23375,03-04-2025 11:50,7.75,4496700,181,7.65,7.7,-88425,-65.6,51300,-32175,Y,-238800,Y,77.25,85,86.45,74.5,73.14,03-04-2025 11:50,-0.3,7168350,181,-0.3,-0.3,-1263300,-18.95,129225,-184800,Y,70425,Y,4.7,4.4,4.85,4.25,22.84,03-04-2025 11:50,23284.25,23292.75,23280.85,23291.3
03-04-2025 11:55,0.85,36000,100,0.7,0.3,675,-295.5,25650,150,YES,2475,N,23343.48,23386.35,23387.2,23388,23381,03-04-2025 11:55,-4.15,3261300,182,-4.25,-4.3,29025,-71.5,52350,-138075,YES,175500,YES,84.95,80.8,85.95,80,73.24,03-04-2025 11:55,-0.15,5091150,182,-0.2,-0.2,-208725,-18.8,131550,157125,YES,6075,N,4.4,4.25,4.5,4.15,22.65,03-04-2025 11:55,23291.9,23294.75,23286.95,23289.75
03-04-2025 12:00,-2,48525,93,-1.4,-2.05,18375,-125.4,21225,1800,N,3225,N,23344.16,23387.75,23385.75,23389.95,23381.8,03-04-2025 12:00,-0.25,3029025,181,-0.05,0.05,-58575,-67.85,53325,-43800,Y,-48675,Y,80.7,80.45,83.2,77.05,73.31,03-04-2025 12:00,-0.3,6334425,181,-0.25,-0.25,2018475,-18.7,127200,-413550,Y,402825,Y,4.25,3.95,4.4,3.85,22.43,03-04-2025 12:00,23289.25,23292.4,23283.1,23285.5
03-04-2025 12:05,-2.45,36600,80,-2.6,-4.7,4950,-365.25,24150,2850,N,14325,N,23344.65,23385.75,23383.3,23388.5,23378,03-04-2025 12:05,-3,1871100,183,-2.85,-2.85,-17175,-66.45,54450,-32550,N,78975,YES,80.4,77.4,81.5,76.75,73.34,03-04-2025 12:05,0.4,5469750,183,0.35,0.35,7547700,-19.45,130725,938700,YES,-908400,YES,3.95,4.35,4.35,3.8,22.23,03-04-2025 12:05,23285.95,23289.35,23281.6,23283.8
03-04-2025 12:10,-9.95,31500,92,-11,-10.25,19500,-249.3,21075,-4050,YES,-825,Y,23345.03,23383.3,23373.35,23385.25,23373.35,03-04-2025 12:10,-3.25,2994150,183,-3.65,-3.7,87975,-65.95,57525,-46200,YES,-15525,Y,77.2,73.95,79.6,73.1,73.37,03-04-2025 12:10,0.7,6158550,183,0.7,0.7,6234300,-20.05,137175,85800,N,-374700,Y,4.3,5,5.05,3.9,22.03,03-04-2025 12:10,23283.7,23286.35,23272.85,23273.5
03-04-2025 12:15,-0.35,46125,87,0.2,-0.35,17925,-250.9,26625,3975,N,-6975,Y,23345.46,23373.35,23373,23378.95,23365.05,03-04-2025 12:15,-0.2,3131850,182,0.3,0.4,18450,-60.7,52800,51225,Y,-35700,Y,74.2,74,75.2,70.95,73.37,03-04-2025 12:15,-0.6,7769100,182,-0.6,-0.6,3042525,-19.8,137475,-1267050,Y,742500,Y,5,4.4,5.25,4.35,21.78,03-04-2025 12:15,23275.95,23279.8,23271.45,23277.35
03-04-2025 12:20,-6.8,12750,67,-6.65,-4.45,7350,-539.15,22350,-5775,YES,-5475,N,23345.56,23376,23369.2,23376,23365,03-04-2025 12:20,-6,3291225,184,-5.75,-5.9,58650,-61.75,63000,-136575,YES,125100,YES,74.1,68.1,74.6,67.55,73.34,03-04-2025 12:20,0.65,6738225,184,0.65,0.65,849975,-19.55,142725,238125,YES,-474375,YES,4.4,5.05,5.35,4.2,21.56,03-04-2025 12:20,23277.15,23279,23267.25,23271.3
03-04-2025 12:25,-10.5,35400,106,-7,-5.2,9150,-592.7,25200,-12450,YES,-1125,N,23345.72,23368.55,23358.05,23369.6,23355,03-04-2025 12:25,-2.65,5677725,182,-3.7,-3.75,-75300,-52.35,52425,380025,Y,-4350,Y,67.85,65.2,69.1,61.55,73.18,03-04-2025 12:25,-0.1,11042925,182,0.05,0.05,-885300,-18.45,121350,-6975,Y,76950,Y,5.1,5,5.8,4.6,21.24,03-04-2025 12:25,23270.15,23272.9,23256.3,23266.5
03-04-2025 12:30,4.95,20025,96,4.75,1.65,-34350,-582.15,25575,-525,N,6000,N,23345.81,23358.05,23363,23366,23355.35,03-04-2025 12:30,0.65,3479925,183,0.65,0.75,55350,-57.65,59175,-6900,YES,65400,YES,65.05,65.7,67.4,62.75,73.1,03-04-2025 12:30,-0.95,9450300,183,-1,-1,-828375,-19.15,135525,-127575,Y,678150,Y,4.95,4,5.4,3.85,20.96,03-04-2025 12:30,23266.95,23270.35,23260.55,23267.3
