last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price,last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,bid_price,ask_price
28-03-2025 14:57,23685,308175,477150,450,375,23681.93333,23685.16667,28-03-2025 14:57,43.25,4459650,1229925,5325,8025,43.35769231,43.49230769,28-03-2025 14:57,256.5,644625,119775,600,450,256.9045455,257.4409091
28-03-2025 14:57,23684,308175,478200,375,750,23683.43,23687.215,28-03-2025 14:57,43.3,4459500,1228875,4875,4425,43.70714286,43.83928571,28-03-2025 14:57,257.65,645825,119025,450,375,255.9416667,256.4375
28-03-2025 14:57,23678.8,307575,479775,375,450,23679.45667,23684.17667,28-03-2025 14:57,42.9,4434000,1252500,3000,5100,42.84230769,42.96153846,28-03-2025 14:57,259.85,646650,120825,600,675,258.9115385,259.4538462
28-03-2025 14:57,23685,308550,477150,4425,900,23682.39444,23684.83333,28-03-2025 14:57,44.2,4455150,1218450,3525,4050,43.68461538,43.8,28-03-2025 14:57,255.85,647400,121650,450,450,256.5142857,257.0214286
28-03-2025 14:57,23685,310125,476700,3900,900,23685,23685.9875,28-03-2025 14:57,44.35,4457250,1226850,4950,6375,44.14230769,44.26923077,28-03-2025 14:57,255.25,646800,123225,750,525,255.1772727,255.6863636
28-03-2025 14:57,23690,310350,473550,600,2175,23686.485,23689.58,28-03-2025 14:57,44.65,4473975,1210650,3825,4725,44.92083333,45.04583333,28-03-2025 14:57,253.3,645975,123075,2475,525,252.5833333,253.0958333
28-03-2025 14:58,23689,310350,472050,3375,900,23688.20455,23690.25,28-03-2025 14:58,44.2,4456050,1222650,6375,3075,44.43333333,44.55416667,28-03-2025 14:58,253.8,648450,122700,900,975,253.05,253.5590909
28-03-2025 14:58,23686,310725,474075,4350,675,23687.61429,23688.89286,28-03-2025 14:58,42.7,4434675,1249725,4725,6150,43.8,43.90357143,28-03-2025 14:58,257,649350,121350,300,525,254.325,254.8041667
28-03-2025 14:58,23680.5,307125,474900,4275,750,23682.98182,23684.09091,28-03-2025 14:58,42.4,4414350,1277400,4575,4350,42.6,42.70833333,28-03-2025 14:58,259.05,655425,122625,450,900,258.27,258.76
28-03-2025 14:58,23681.1,305775,476775,1275,225,23679.67,23682.2,28-03-2025 14:58,42.35,4431975,1267650,2925,5400,42.40833333,42.51666667,28-03-2025 14:58,260.35,653850,124950,600,600,259.2454545,259.7954545
28-03-2025 14:58,23675.4,304275,480225,1050,750,23679.09091,23681.15455,28-03-2025 14:58,41,4420350,1282725,5625,7200,41.67,41.79,28-03-2025 14:58,264.25,658275,123675,750,600,261.4692308,262.0076923
28-03-2025 14:58,23675.1,304950,482775,375,1350,23675.2125,23679.25,28-03-2025 14:58,40.8,4395750,1270650,4050,5625,41.14285714,41.24285714,28-03-2025 14:58,264,658725,121200,900,525,262.8846154,263.4307692
28-03-2025 14:59,23675.2,302325,486525,525,450,23675.44091,23677.50455,28-03-2025 14:59,41.05,4416600,1257450,3075,4650,41.24230769,41.35384615,28-03-2025 14:59,265.7,656550,122250,675,825,263.295,263.86
28-03-2025 14:59,23672,302100,487575,225,450,23673.56875,23675.85,28-03-2025 14:59,40.5,4392975,1258950,7200,4800,40.46,40.59333333,28-03-2025 14:59,266.1,656925,119550,600,1275,265.7846154,266.3038462
