last_traded_time,n_buy_corr,n_sell_corr,n_tb_ts,ce_buy_corr,ce_sell_corr,ce_tb_ts,pe_buy_corr,pe_sell_corr,pe_tb_ts,n_buy_diff,n_sell_diff,ce_buy_diff,ce_sell_diff,pe_buy_diff,pe_sell_diff,n_bid_diff,n_ask_diff,ce_bid_diff,ce_ask_diff,pe_bid_diff,pe_ask_diff,n_bid_price,n_ask_price,ce_bid_price,ce_ask_price,pe_bid_price,pe_ask_price,percentage,bid_ask_diff,bid_ask_diff,bid_ask_diff
28-03-2025 14:25,0.48400274,-0.740070588,-0.451669842,0.632850745,-0.781514011,-0.583777425,0.171284803,-0.35093282,0.011740313,2925,-20250,83250,-129900,-8250,4500,75,150,-4800,-1050,-75,75,31.13917,28.58167,5.27532468,5.29318182,-22.9923076,-22.9807693,46.7538143,-7.25,-0.15,-0.85
28-03-2025 14:30,0.521850958,-0.795302725,-0.524425661,0.779540172,-0.849541327,-0.686937429,0.689153591,0.390602606,0.229374595,-16500,34200,-66150,95025,11250,2175,150,1425,675,-75,-75,-75,-26.76218,-24.9609,-6.15051282,-6.16589744,16.25,16.275,60.74143404,-7.5,-0.15,-0.8
28-03-2025 14:35,0.67075913,-0.797047687,-0.352449263,0.784311697,0.071845382,-0.168471093,0.393132416,-0.872881658,-0.291460552,16950,-5175,67275,26850,-525,3600,-75,900,-900,-225,150,150,22.83,24.715,3.90261904,3.92261904,-15.893254,-15.9472222,48.91509863,-7.1,-0.15,-0.85
28-03-2025 14:40,0.574920622,-0.937851686,-0.547554664,0.317683092,-0.779823484,-0.319697041,0.759139629,-0.837169492,-0.51065769,5850,-33225,-11850,-78075,-13350,10950,-75,-750,375,-1050,75,225,23.975,24.24047,4.78051948,4.78896104,-19.2941667,-19.2708333,62.04997109,-7.75,-0.15,-0.75
28-03-2025 14:45,0.575871136,-0.702533389,-0.611581841,0.95375166,-0.234077441,-0.1284881,0.824419179,0.048071824,0.148359674,-1800,-2475,-57525,3525,14625,7350,375,-225,-900,2625,75,225,-13.57207,-14.12207,-3.14512821,-3.13820513,8.3375,8.3791666,46.96838048,-5.1,-0.15,-0.65
28-03-2025 14:50,0.290006529,-0.158917665,0.277262,0.329093307,-0.413378358,0.193332792,0.438052801,-0.334359485,0.267980125,375,14700,28050,92100,6450,-2625,675,1725,6975,300,300,-975,5.56363,5.2,0.58822115,0.59975962,-2.2510989,-2.246978,30.02647847,-7.3,-0.15,-0.65
28-03-2025 14:55,0.750201342,-0.891724422,-0.668849458,0.794401088,-0.693879726,-0.741677137,0.711119352,-0.369154533,-0.003327501,1950,1500,20475,-30900,1875,8925,-825,-1500,2025,1200,225,-75,-4.83889,-4.47071,-1.14615385,-1.13846154,1.69625,1.57,62.49260622,-5.85,-0.15,-0.7
28-03-2025 15:00,-0.093077113,0.682765111,-0.236496115,0.483484238,0.217667719,-0.051807392,-0.576017562,-0.913834217,0.49797976,18750,-9150,-44625,-42375,-9750,-26400,1350,525,-1125,5025,900,-900,-34.95609,-32.7125,-8.05096154,-8.06418269,22.0798702,22.137987,41.70143586,-7.95,-0.15,-0.8
28-03-2025 15:05,0.086487765,-0.374994544,0.241248751,0.670699451,-0.763727887,-0.792693274,0.362690465,-0.556327121,-0.449388314,-7125,-825,13800,-1875,-2700,9600,-375,-300,1125,4950,-1800,450,0.06363,-2.4,0.28653846,0.29102564,-0.6727273,-0.7116884,47.75841747,-6.65,-0.15,-0.75
28-03-2025 15:10,-0.056710561,-0.685730357,-0.188667627,0.075749207,-0.777979192,-0.428393842,0.110384713,0.440752393,-0.171399368,2175,-2550,-4575,-83625,-6600,-450,75,75,-825,-825,-75,0,13.7815,11.70455,3.80909091,3.83671328,-12.04375,-12.1525,32.61963625,-6.6,-0.15,-0.8
28-03-2025 15:15,0.937136216,0.132335487,0.331394753,0.795372856,-0.083535672,-0.242654946,-0.041218339,-0.912301433,0.368795707,-35700,2025,-111675,15600,4050,-27600,4425,300,525,-2550,-225,-525,-30.44712,-32.43141,-7.62307692,-7.64230769,30.9117424,30.7651515,42.71939345,-4.7,-0.15,-0.8
28-03-2025 15:20,0.762195069,-0.008235491,0.532365264,0.633727816,-0.653567312,-0.313297579,-0.084168233,-0.478699951,0.673241294,-4650,-16950,1575,-111750,-21600,-6675,-1200,975,1575,1575,-225,-225,-1.05,-1.46363,1.76573427,1.78881119,-3.5730769,-3.6258242,45.99442232,-5.5,-0.15,-0.8
28-03-2025 15:25,-0.831251575,-0.875688338,0.92932385,-0.86641625,-0.761992197,0.745363418,0.782997366,0.735925745,0.654402682,-48150,-33150,-2646300,-175425,-563700,-18300,150,8925,-1800,-3900,-75,-1050,17.355,19.24833,1.91952381,2.11333333,-13.3626374,-12.7945055,79.8151269,-7.65,-0.6,-1.85
