last_traded_time,ltp,vol_traded_today,bid_size,ask_size,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
28-03-2025 12:00,23722,19950,63450,40575,22875,-1.65,23400,5700,N,-1425,Y,0.02,23721.75,23722,63,1103775,389175,387675,2550,0.05,41550,1275,YES,42450,YES,-0.18,243.6,127800,105450,115200,-9750,0.05,39000,4725,N,-4050,YES,-0.1
28-03-2025 12:05,23734.85,12675,64275,43200,21075,-1.15,22575,4800,N,1800,N,0.02,23722,23734.85,65.6,703425,421950,378075,8625,-0.1,39000,4425,N,-3675,Y,-0.12,237.95,141225,117900,129150,-11250,0,38400,-6450,Y,6300,N,-0.14
28-03-2025 12:10,23723.65,23025,63225,44925,18300,1.05,29550,-13425,YES,8475,N,0.06,23734.85,23723.65,61.6,1088925,458175,416700,14850,-0.05,44550,-48300,YES,58275,YES,-0.15,245.4,143625,148125,134175,13950,-0.15,44100,11250,N,225,YES,-0.19
28-03-2025 12:15,23677.95,60375,111600,46350,65250,-0.95,29400,-27600,YES,2025,Y,-0.46,23723.65,23677.95,50.35,2909775,390525,451350,2550,-0.05,46275,-162525,YES,32700,N,-0.81,278.1,372075,106500,109650,-3150,0.15,37200,5325,N,-50775,YES,0.36
28-03-2025 12:20,23659.6,76050,104400,85275,19125,-0.5,32700,-7275,Y,7350,N,-1.13,23677.95,23659.6,46.45,1944600,703575,738000,6225,-0.1,49200,52575,Y,65625,YES,-0.67,294.1,293175,100050,114975,-14925,0.05,38700,-13275,Y,6900,Y,0.86
28-03-2025 12:25,23654.9,73800,378975,73500,305475,-4.9,31050,-2850,N,8700,N,-1.31,23659.5,23654.9,44.2,1410450,903075,929700,6225,-0.05,58350,-11100,YES,36675,N,-0.52,297.5,211500,110025,95700,14325,-5.68E-14,40875,-5025,N,-1050,YES,0.76
28-03-2025 12:30,23625.45,183375,383400,209700,173700,1.25,33750,-49500,YES,25425,N,-3.81,23650,23625.45,42.1,1675575,964275,1101600,14100,0,47025,39750,Y,20475,N,-0.62,321.7,270075,122325,103500,18825,0.1,39750,750,N,-14475,YES,1.2
28-03-2025 12:35,23645,125475,145575,107400,38175,1.1,31425,35175,Y,-16500,Y,-2.69,23626.1,23645,43.35,3910350,703875,886275,24225,7.11E-15,56775,87825,Y,-57375,Y,-1.39,299.8,387225,102300,102825,-525,-0.2,39750,-14775,Y,14925,Y,1.69
28-03-2025 12:40,23642.85,50250,96150,52950,43200,-1.9,28725,6375,N,6525,YES,-0.88,23643.2,23642.85,42.6,1170525,621675,918900,21975,0.1,57525,15600,N,122100,YES,-0.39,302.35,142725,112200,103800,8400,5.68E-14,39225,675,N,-1575,YES,0.51
28-03-2025 12:45,23647.75,64575,88950,89550,-600,-2,33900,6150,N,-3750,Y,-1.05,23642.85,23647.75,42.95,1341075,844725,878400,24375,0.05,55950,-19800,YES,66300,N,-0.43,296.4,138225,88725,89400,-675,0.05,30750,-1950,Y,4875,N,0.45
28-03-2025 12:50,23654,32475,94275,53025,41250,-0.25,28800,1350,YES,6675,N,-0.45,23652,23654,43.5,1077450,771150,886050,5175,-0.05,57675,-1425,N,15375,N,-0.33,293.1,114600,100275,75750,24525,0.05,39150,5850,N,10425,N,0.31
28-03-2025 12:55,23647.5,35025,56100,55725,375,-0.75,25500,-4425,YES,-3600,Y,-0.51,23654,23647.5,41.1,991575,859425,877875,9375,-0.1,54600,38100,Y,47775,YES,-0.32,296.9,130050,110100,122025,-11925,-5.68E-14,38625,3075,N,-7050,YES,0.37
28-03-2025 13:00,23607,118725,182250,92550,89700,-2,29475,-23250,YES,-11550,Y,-2.52,23647.5,23607,33.5,2360775,806175,1091400,7125,0.05,48075,-198975,YES,-56400,Y,-0.86,329.95,268875,123675,111375,12300,-0.15,39825,-4725,Y,-20850,YES,1.14
28-03-2025 13:05,23625.1,78300,138300,49125,89175,0.55,32700,21300,Y,5700,N,-1.59,23607,23625.1,36.25,1426875,1176975,1093500,6525,0,57600,121275,Y,-70500,Y,-0.52,309.7,193200,103500,104775,-1275,0.05,43575,-6750,Y,12225,Y,0.87
28-03-2025 13:10,23621,35625,101250,61275,39975,0.1,27450,-16725,YES,5850,N,-0.66,23625.1,23621,35.7,1105275,1123650,1081200,16125,-0.05,53625,-10800,YES,27450,YES,-0.38,315.85,122250,100875,89250,11625,-0.1,40350,2025,N,-150,YES,0.5
28-03-2025 13:15,23608.95,57525,146250,72300,73950,0.2,31650,-1800,N,3300,N,-1.2,23620.05,23608.95,32.95,916950,1303575,1119825,24300,0,58350,-37575,YES,31275,N,-0.33,331,120000,85800,92400,-6600,0.05,34875,-3975,Y,-16875,YES,0.56
28-03-2025 13:20,23625,77100,84825,73725,11100,-1.9,30000,225,N,-3975,Y,-1.5,23608.95,23625,35.35,1159800,1259175,1676925,8250,0,63525,178200,Y,-36450,Y,-0.41,312.6,140625,90675,79275,11400,0.25,37575,-6900,Y,675,N,0.59
28-03-2025 13:25,23616,33450,65625,40575,25050,-0.25,22875,3000,N,4425,N,-0.58,23629.25,23616,33.8,865500,1360125,1263075,17400,7.11E-15,63225,55275,N,37800,YES,-0.28,323,103725,82050,69975,12075,0.05,31875,75,N,2475,N,0.4
28-03-2025 13:30,23640,53175,68550,98700,-30150,0.15,33075,525,YES,-12375,Y,-0.84,23616,23640,38.1,1226475,1075800,1257525,6825,0,64275,16275,N,-107925,Y,-0.39,299.4,136950,97800,113250,-15450,-0.1,40950,-7425,Y,5775,N,0.46
28-03-2025 13:35,23630,85350,57750,51900,5850,-1.85,32250,29850,Y,11625,YES,-1.17,23643.1,23630,36.2,1104375,985725,1113450,10050,0,57525,-10275,YES,46125,YES,-0.33,309,155550,114750,103800,10950,0.05,45150,2025,N,6075,N,0.46
28-03-2025 13:40,23604.45,45075,82275,65625,16650,-2.6,24600,-9750,YES,675,Y,-0.81,23630,23604.45,32.05,1372725,1059075,1472175,6900,-0.05,58350,-21075,YES,28575,N,-0.45,331,181125,115875,110925,4950,-0.05,36300,5325,N,-16050,YES,0.74
28-03-2025 13:45,23585,192000,184275,111300,72975,1.35,31050,-51750,YES,2325,N,-4.42,23604.5,23585,29.2,1993500,1568550,1708875,28950,-3.55E-15,60450,1267800,Y,-21000,Y,-0.69,349,237525,83100,70875,12225,-0.2,35625,-3975,Y,-12750,N,1.31
28-03-2025 13:50,23574.25,92250,133725,116100,17625,-0.45,35475,8100,Y,1725,Y,-2.14,23582.5,23574.25,28.15,1281900,1741350,1989450,14475,0.05,55950,19875,N,38175,YES,-0.45,353.7,112050,84675,85350,-675,-0.05,44100,-9225,Y,13800,Y,0.65
28-03-2025 13:55,23577,69150,71625,89925,-18300,-0.75,31050,4200,N,5850,N,-1.52,23575,23577,27.55,1313700,2097150,2700600,14625,0,69825,-72150,YES,121125,YES,-0.46,353.2,74175,77100,77400,-300,0.1,31200,3000,N,900,YES,0.42
28-03-2025 14:00,23565,93300,112200,171675,-59475,-1.05,33750,-9375,YES,14475,N,-2.21,23578.7,23565,26,1235100,1940025,2094150,12375,3.55E-15,76575,-10125,Y,-43575,Y,-0.44,361.95,116325,76650,81750,-5100,5.68E-14,30450,13125,N,-8175,YES,0.72
28-03-2025 14:05,23578.7,94425,101325,222075,-120750,-0.15,28875,8475,N,-3150,Y,-2.16,23562,23578.7,27.7,912000,1559175,1515300,10125,0,54975,112875,Y,-17850,YES,-0.31,343.3,84675,79125,95025,-15900,0.25,33900,525,Y,7800,N,0.49
28-03-2025 14:10,23598.7,151350,95550,147000,-51450,2.05,41475,450,YES,-3300,Y,-2.69,23579.3,23598.7,29.55,1600875,2138850,1916100,12225,0.05,64950,2105175,Y,-73050,Y,-0.51,330.75,136350,84600,92775,-8175,-0.15,32775,-28875,Y,13500,N,0.64
28-03-2025 14:15,23612,92025,139425,131550,7875,-0.9,31125,-8625,YES,4950,N,-1.3,23599.75,23612,32.55,2059050,1935000,2192100,10275,-0.05,72150,84600,N,66450,YES,-0.58,317,134625,87750,92025,-4275,0.2,36225,-3975,YES,1650,YES,0.48
28-03-2025 14:20,23622.55,97650,132450,154650,-22200,-0.55,27975,8850,N,-9525,Y,-1.23,23611.1,23622.55,35.05,1826775,2052525,1944900,12825,-0.05,67800,-80250,YES,-120150,Y,-0.48,302.25,151800,93375,95100,-1725,5.68E-14,41925,675,N,-4725,YES,0.48
28-03-2025 14:25,23654.05,151425,159900,130575,29325,-1.55,35100,3000,N,-20250,Y,-1.18,23622.9,23654.05,40.2,2822850,1693350,1564500,17325,7.11E-15,72300,11325,Y,-83250,YES,-0.61,282.05,174150,89775,81900,7875,-0.1,36600,-8475,Y,5850,N,0.3
28-03-2025 14:30,23630.3,178500,66300,101850,-35550,0.5,33900,-14475,YES,38250,YES,-0.98,23654,23630.3,34.45,3126600,1218825,1291725,11100,-0.05,65550,-59550,YES,90675,YES,-0.59,295,284700,98400,127800,-29400,-0.05,41775,10200,N,7275,N,0.29
28-03-2025 14:35,23654.45,101400,59475,97875,-38400,-1.2,29925,15375,Y,-12300,Y,-0.43,23630.3,23654.45,38.85,1752825,1248975,1448100,6300,-0.05,63075,81450,Y,17550,N,-0.33,278,167850,101100,105000,-3900,-0.1,51150,1650,Y,4575,N,0.13
28-03-2025 14:40,23684.45,171975,81900,185325,-103425,3.5,32625,4500,N,-32175,Y,-0.12,23655.6,23684.45,44.95,3086100,1132575,1239150,7275,-0.05,61050,-11850,YES,-61050,Y,-0.44,256.4,274425,126150,130725,-4575,0,56175,-11850,Y,9675,N,-0.06
28-03-2025 14:45,23674,117900,122175,230550,-108375,1.25,33000,2025,YES,-1950,YES,0,23682.55,23674,42,2503350,1131825,1327650,8325,-0.05,58500,-63825,YES,12825,YES,-0.34,263.7,191025,138450,134025,4425,0,46050,12300,YES,9225,N,-0.07
28-03-2025 14:50,23682.8,93000,78750,117375,-38625,-1.45,31200,3825,N,17100,N,0.11,23672.6,23682.8,43.3,2564325,1117800,1017750,11550,-0.05,58650,25575,Y,81675,YES,-0.29,261,207300,128100,127350,750,-2.84E-14,50925,2400,Y,-2625,YES,-0.18
28-03-2025 14:55,23676,70275,159075,138750,20325,0.05,32625,-3975,YES,4950,N,0.05,23682.8,23676,41.65,1850250,1050675,1145925,5325,-0.05,60825,-19275,YES,3225,N,-0.24,261.45,179025,145425,113700,31725,5.68E-14,42450,2025,Y,5925,N,-0.1
28-03-2025 15:00,23641.2,153300,744225,162450,581775,0.9,37125,63750,Y,-4800,Y,-0.66,23676,23641.2,32.85,3004275,1176150,1208700,11775,-0.05,57600,-56025,YES,-56775,Y,-0.53,286.45,327225,126450,148500,-22050,0,48600,-8775,Y,-28500,YES,0.23
28-03-2025 15:05,23643.2,67575,285975,99450,186525,-2.2,31725,-6375,YES,-150,N,-0.36,23643.45,23643.2,33.65,1255050,1305375,1363650,7050,0,56850,10500,Y,3525,YES,-0.24,282.65,112275,131250,125775,5475,-0.1,40125,-5550,N,7425,Y,0.11
28-03-2025 15:10,23658.35,65250,77925,114975,-37050,0.5,32475,2925,N,9450,N,-0.24,23642.4,23658.35,37.05,1555200,1372650,1539150,11925,0.05,58500,-21900,YES,825,Y,-0.26,273.85,120300,127125,131925,-4800,0.05,47325,1650,N,-5100,YES,0.06
28-03-2025 15:15,23625.05,318600,267525,156525,111000,-2.65,34200,-29025,YES,3600,N,-1.79,23658.35,23625.05,28.7,2036475,1259625,1397025,13125,-3.55E-15,69900,-111675,YES,46650,YES,-0.38,309,214950,131100,136125,-5025,0.25,45825,1800,N,-29850,YES,0.29
28-03-2025 15:20,23623.55,85725,128700,180825,-52125,-0.2,33300,600,Y,-22875,Y,-0.56,23625,23623.55,30.9,1981725,1266675,1408350,10800,0,63900,-23400,Y,-114225,Y,-0.38,303.15,110925,111450,126975,-15525,-0.05,41100,-23325,Y,-7425,Y,0.2
28-03-2025 15:25,23643,179475,132750,188025,-55275,-0.9,35550,-59250,YES,-56925,Y,-1.1,23624.5,23643,32.2,1628550,688200,886125,7425,-0.05,55050,-2669625,YES,-178800,Y,-0.31,290,114975,144825,144075,750,0.75,45000,-563550,Y,-29175,YES,0.2
