last_traded_time,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val,ltp,tot_buy_qty,tot_sell_qty,bid_val,ask_val
27-03-2025 11:00,23599.95,214125,353850,525,600,109.6,44851725,636975,1725,8775,11.95,38257275,5746875,25800,24525
27-03-2025 11:00,23599.25,212250,353400,375,375,110.3,44863650,594450,975,1350,11,38169900,5807175,24450,19575
27-03-2025 11:00,23603,213675,353850,300,375,112.4,44866800,597450,1575,1350,10.65,38057700,5763150,26025,12300
27-03-2025 11:00,23605.55,213825,354750,450,225,112.3,44914875,616575,675,1500,10.7,38090850,5665950,22800,16725
27-03-2025 11:00,23606.65,218175,358575,75,150,117.9,44952075,613350,975,1050,10,38078700,5654850,19725,22275
27-03-2025 11:01,23609,219150,352125,150,300,118.2,44961225,514800,750,900,9.55,38000250,5744625,19650,21675
27-03-2025 11:01,23607.75,216075,355950,225,375,117,44906625,520275,600,750,9.95,37992075,5735475,26925,51375
27-03-2025 11:01,23607,216600,356775,150,375,116.05,44890275,539625,750,675,10.05,38087550,5543100,26100,39600
27-03-2025 11:01,23605.9,218850,353775,225,75,118.9,44901675,539925,900,750,9.8,38039175,5668875,18450,35775
27-03-2025 11:01,23606.2,218250,354300,225,600,118,44892300,532125,600,300,10.25,38094300,5574000,19050,16950
27-03-2025 11:01,23607,216900,352950,225,525,119.2,44891325,544650,6300,825,10.05,38128725,5601675,21900,34875
27-03-2025 11:02,23606.95,216975,353850,300,450,117.3,44890125,549975,750,1650,10.55,38171100,5593950,28500,44625
27-03-2025 11:02,23606.95,214500,351000,225,450,118.15,44891475,559350,450,675,10.65,38205450,5657175,26100,32775
27-03-2025 11:02,23611.1,215250,350775,225,375,123.85,44905875,550350,1125,825,10.1,38192400,5767050,45150,43200
27-03-2025 11:02,23614.25,216000,350025,375,75,123.35,44898150,475350,600,750,10.45,38151750,5726925,36375,44925
27-03-2025 11:02,23610.1,216225,351675,375,2025,124,44879850,486225,825,1200,10.85,38227350,5576925,29775,16275
27-03-2025 11:02,23614.2,216900,350625,225,75,127.9,44904975,465375,1500,1050,10.5,38189775,5585775,26775,55800
27-03-2025 11:03,23614.6,215325,351450,225,375,123.3,44887200,468225,1350,450,10.75,38296500,5577450,45750,28950
27-03-2025 11:03,23613,214650,352200,225,1800,121.55,44884425,484875,1350,1500,10.75,38243400,5608200,28200,42075
27-03-2025 11:03,23611.1,217200,354675,225,900,120.7,44860050,483900,1575,1200,10.85,38244150,5506350,31800,34650
27-03-2025 11:03,23610,218775,352350,225,1425,122.45,44858550,485550,600,2175,10.8,38264475,5578575,42900,35700
