last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
21-01-2025 13:05,23283,56650,-500,800,17025,-25,YES,23550,YES,-0.03,23314,23283,-12.7,1942350,-675,0,-11.15,-11.05,40125,-26700,N,68625,YES,-0.12,17.85,524175,-75,-375,13.2,13.2,39300,-13050,Y,-375,YES,0.24,-61.2,17475,0,0,-61.2,-63.2,6465,-3180,YES,1440,N,-1.14
21-01-2025 13:10,23294.8,39975,-25,-75,17175,86400,Y,200,Y,-0.11,23282.25,23294.8,4.75,1561650,75,1425,3.75,3.8,43425,72000,Y,-11475,Y,-0.19,-13.2,362100,-225,750,-9.95,-9.95,43125,-4575,N,19875,Y,0.21,12.4,4665,-90,0,19.35,16.75,6000,6915,N,6435,N,-0.44
21-01-2025 13:15,23205,73425,0,0,15125,-78575,YES,13725,N,-0.57,23294.8,23205,-31.45,2514750,-750,1950,-30.1,-30.15,45900,-190200,YES,107250,YES,-0.45,65.9,613950,-75,375,61.15,61.35,41475,3600,N,-36750,YES,0.47,-160,12525,0,60,-159.6,-169.4,7650,6780,N,9915,N,-1.74
21-01-2025 13:20,23230,209600,-175,25,16225,-26500,Y,-5125,Y,-3.71,23205,23230,10.5,3392850,375,2100,9.95,10,46500,205875,Y,66900,N,-0.94,-19.2,787800,75,-450,-16.7,-16.9,43875,-16950,Y,-3000,Y,1.04,42.15,16020,90,-45,45.1,53.55,6750,-18075,YES,11325,N,-2.95
21-01-2025 13:25,23299.45,174900,50,175,15550,8900,Y,-82850,Y,-0.46,23232.35,23299.45,17.3,3063525,-75,-1050,17.75,17.8,46950,-43050,YES,-97725,Y,-0.48,-49.75,563625,-225,-75,-50.45,-50.75,42450,13425,YES,12600,N,0.4,90.65,10440,90,-285,105.25,109.45,6540,8145,Y,-300,Y,-1.19
21-01-2025 13:30,23285,135750,50,150,17225,89000,Y,-26100,YES,0.06,23292.55,23285,-2.65,3353700,-450,300,-2.75,-2.75,41325,75975,Y,-45000,YES,-0.3,5.7,585150,-525,150,6.7,6.65,41250,5175,N,17850,N,0.26,-29.6,20580,-90,-45,-25.55,-17.4,7545,-405,YES,-14640,Y,-1.74
21-01-2025 13:35,23273,69450,25,-100,17225,-5625,YES,-16575,N,-0.25,23282,23273,-8.35,1996575,-2325,-525,-8.35,-8.4,46275,52050,N,37350,YES,-0.33,0.1,436275,75,75,0.65,0.65,43875,-5250,Y,-825,YES,0.26,15.5,5250,0,-180,3.2,1.35,5445,-20850,YES,-345,N,-0.59
21-01-2025 13:40,23290.9,44800,-25,0,12750,-725,N,35400,YES,-0.04,23273.15,23290.9,8.15,2020725,825,-600,8.35,8.35,47550,52050,N,-6450,Y,-0.28,-17.3,403125,0,450,-17.7,-17.7,43500,145500,YES,26175,Y,0.14,15.45,11235,60,-75,24.5,25.35,12540,-15,Y,-1770,Y,-0.86
21-01-2025 13:45,23299.45,39550,25,-25,10825,-2625,YES,525,Y,0,23285.85,23299.45,4.05,1427100,675,975,4.3,4.4,42750,38775,N,-28800,Y,-0.16,-3.35,284250,375,-75,-2.8,-2.85,43350,65625,N,8400,N,0.1,14.25,2010,0,-15,-5.5,-6.9,3885,-4755,YES,13140,N,-0.15
21-01-2025 13:50,23261.65,44325,0,350,13700,-17750,YES,7700,N,-0.18,23292.65,23261.65,-8.75,1660050,1425,-450,-8.6,-8.65,42225,46425,N,42150,YES,-0.25,20.8,478575,0,525,21.1,21.15,41850,-179400,Y,-17250,YES,0.27,-71.05,3855,30,-15,-69.2,-78.45,4620,-6900,YES,-1695,Y,-0.46
21-01-2025 13:55,23269.95,49075,-100,-250,13400,-3550,N,-25750,Y,-0.32,23263.55,23269.95,0.35,1675950,-600,900,-0.35,-0.35,41850,-4050,YES,38250,N,-0.3,-6.8,392700,750,-300,-3.9,-4.05,43350,-16500,YES,225,N,0.28,29.7,11055,30,-90,25.3,24,14910,75,N,1905,N,-1.43
21-01-2025 14:00,23294.95,41425,-25,-375,19650,2325,N,-500,YES,-0.13,23269.95,23294.95,7.75,1450800,-750,525,7.85,7.85,48525,16125,Y,-54750,Y,-0.23,-21.15,335250,600,-150,-22.1,-22,42000,-5850,N,9825,N,0.16,43.45,4050,-15,120,47.1,40.3,4710,9420,N,-11040,Y,-0.37
