last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,High_9,Low_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
02-01-2025 11:55,23518,384975,1500,225,46275,76425,Y,65850,N,-10.82,23500.95,23518,23564.25,23474,150,2788275,0,-75,39150,121200,Y,41625,YES,-3.93,296.35,1773600,0,-75,34425,149625,YES,8475,Y,3.33,49719.05,60900,-180,90,15000,-8400,Y,4830,N,-15.5
02-01-2025 12:00,23555.15,331500,-4050,525,41850,92925,N,-24150,Y,-3.78,23510.35,23555.15,23600.1,23506.5,168.15,2822400,-75,-75,34425,58425,N,25050,N,-2.77,267.15,1052775,-675,0,34650,189000,YES,16575,N,1.08,49895.1,69030,0,0,14340,27150,Y,-11130,Y,-7.85
02-01-2025 12:05,23524.7,268875,600,75,43425,124650,Y,12000,YES,-4.5,23554,23524.7,23567.65,23490.05,146.35,2444400,-75,0,34950,-71775,YES,100125,YES,-3.03,282.7,1019925,0,-75,37275,-17400,Y,-28200,YES,1.33,49754,64320,-90,-90,15720,35790,N,-6000,N,-10.07
02-01-2025 12:10,23555.45,893100,0,-225,41775,16950,N,-62475,Y,-1.15,23532.85,23555.45,23656.95,23504,150.1,5341875,150,-150,36225,-225,Y,7125,N,-4,255.7,1419600,0,0,37425,7350,YES,16650,Y,0.65,49526.5,195660,360,0,15630,-38700,YES,-2250,N,-16.4
02-01-2025 12:15,23579.3,409575,-225,300,40500,-12525,YES,90150,YES,-3,23554.65,23579.3,23598.8,23510,135.75,4938975,-150,-75,37350,-8100,YES,58275,YES,-5.22,230.9,1475925,75,-150,35775,-29925,Y,30750,N,0.44,49730.05,106080,-180,210,16020,-14040,Y,41190,YES,-17.73
02-01-2025 12:20,23597.35,327000,300,0,42000,70650,Y,-97050,Y,-0.48,23566,23597.35,23622.25,23551.85,144.8,3106350,0,375,39525,28650,Y,-38625,Y,-2.93,215.15,1150275,75,0,35175,8925,YES,21525,N,-0.32,49772.45,41670,210,0,16410,4200,N,5460,N,-4.68
02-01-2025 12:25,23525,299850,-375,6225,40500,-900,YES,24825,YES,-1.71,23600.2,23525,23614,23515,128.4,2208975,-75,75,37500,16350,N,101850,YES,-2.04,262.75,1143000,0,-150,38325,12525,N,-35475,YES,-0.02,49649.9,48180,-30,-180,17220,-5640,YES,-30270,Y,-4.39
02-01-2025 12:30,23496.5,225600,975,-3000,38400,-49350,YES,69450,YES,-2.67,23525,23496.5,23552.05,23490,107.4,2571075,75,375,36450,-81150,YES,105825,N,-2.81,274.75,794925,-75,0,36300,-22350,Y,11175,Y,0.48,49630,36240,-240,-240,17790,28620,Y,-900,YES,-5.07
02-01-2025 12:35,23492.3,587400,0,300,48300,-35550,N,25275,N,-10.04,23495,23492.3,23510.4,23430.2,100.6,3377625,-375,-450,37800,-38850,Y,66375,N,-4.26,276.8,937125,-150,-225,34575,-9150,N,-16875,YES,1.11,49580.5,131400,0,720,17190,-18060,YES,-32340,Y,-27.48
02-01-2025 12:40,23490,103125,0,-300,37875,13800,Y,-35850,Y,-1.19,23490.6,23490,23515.4,23480,101,1525650,0,0,38175,3675,Y,44325,N,-1.74,271.25,315525,450,75,35475,-4425,N,15600,Y,0.25,49531.25,20400,240,450,12750,11340,Y,-5700,YES,-3.44
02-01-2025 12:45,23480.05,91725,-300,150,40875,63300,Y,12525,YES,-1.15,23489.6,23480.05,23505,23470.5,100,1401300,75,300,38175,-22050,YES,17550,N,-1.6,281.35,348600,0,375,37875,-17775,Y,-5250,YES,0.32,49539.75,14730,0,120,11100,15210,N,-270,N,-2.68
02-01-2025 12:50,23478,70950,-225,375,34125,-1575,YES,-18225,Y,-0.89,23480,23478,23495,23475,93.7,916650,825,300,41775,-17625,N,16650,N,-1.03,282.7,210300,0,-75,34950,900,N,-4575,N,0.21,49474.9,16650,-210,60,14550,-1170,YES,1680,N,-3.21
