last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
13-12-2024 13:00,24720.9,357825,0,-775,24550,10750,N,-31350,N,11.14,24697.15,24720.9,224.15,3897150,-25,-225,25400,-82450,YES,22450,YES,4.87,13-12-2024 13:00,144.05,2436200,150,50,30300,-26925,Y,128400,Y,-7.32,13-12-2024 13:00,53344,100455,-225,45,10785,-19605,YES,18285,YES,18.85,53317.05,53344
13-12-2024 13:05,24717,92900,175,0,16900,1475,YES,81100,YES,2.7,24725.65,24717,220.3,1363650,-100,-50,27825,-900,Y,75250,YES,1.59,13-12-2024 13:05,145.1,1022425,-275,25,25650,754475,YES,78250,N,-2.75,13-12-2024 13:05,53328.55,27105,0,105,8400,-5640,N,12660,N,4.69,53360.1,53328.55
13-12-2024 13:10,24695,103675,0,75,18525,3625,N,1550,Y,2.72,24719,24695,204.75,1376050,-275,-200,23550,29325,Y,-10700,Y,1.32,13-12-2024 13:10,151,1394750,-100,-750,27800,30425,N,-57600,YES,-3.2,13-12-2024 13:10,53288.85,28860,0,510,8760,12360,N,-2700,Y,4.34,53338.4,53288.85
13-12-2024 13:15,24669.9,100125,25,-100,18900,50,YES,40700,YES,2.38,24698.5,24669.9,184.75,1606950,225,100,24600,-54575,YES,40125,YES,1.28,13-12-2024 13:15,164.5,1679400,125,400,28525,37800,N,-1525,Y,-3.23,13-12-2024 13:15,53231,21375,-120,-405,8175,-15375,YES,14595,N,3.07,53300,53231
13-12-2024 13:20,24693.4,124125,125,175,17050,-10625,YES,650,Y,2.63,24668,24693.4,199.55,2185625,225,825,20725,34200,Y,375,Y,1.46,13-12-2024 13:20,150.35,2376825,0,375,26125,-34025,Y,12175,N,-3.78,13-12-2024 13:20,53280,34950,-105,30,9315,-120,N,12315,N,4.14,53226,53280
13-12-2024 13:25,24713.9,64775,325,125,18975,-675,N,8650,N,1.62,24692.4,24713.9,212.05,1616500,125,-275,22225,14375,N,-15100,Y,1.38,13-12-2024 13:25,141.1,1392625,-550,675,29750,22075,YES,58100,Y,-2.61,13-12-2024 13:25,53293,27195,-195,30,8955,-1485,YES,-1155,Y,3.89,53277,53293
13-12-2024 13:30,24721,65775,0,-1025,19800,-7950,YES,-23100,Y,1.74,24718,24721,212,1436325,-300,25,29400,18125,N,18525,YES,1.25,13-12-2024 13:30,136.4,1405400,125,375,33100,-51150,Y,20125,N,-2.68,13-12-2024 13:30,53295,13890,45,15,7230,13680,N,-2745,Y,1.88,53293,53295
13-12-2024 13:35,24747.3,243425,25,475,32275,13350,Y,-124200,Y,6.88,24723.25,24747.3,231.7,1900275,300,-175,24350,-16575,YES,-71550,Y,1.9,13-12-2024 13:35,125.75,1414775,-950,0,34225,36025,YES,88425,Y,-2.87,13-12-2024 13:35,53421.3,79620,-60,-1290,12495,690,YES,-46110,Y,13.6,53295,53421.3
13-12-2024 13:40,24770,186300,350,375,17450,17600,N,-7750,YES,5.5,24750,24770,243.7,1740850,25,125,24750,-39550,YES,-76000,Y,1.96,13-12-2024 13:40,119,1596800,25,-650,29950,-28775,Y,34425,N,-3.32,13-12-2024 13:40,53424,35835,0,-570,8610,1185,N,-2895,YES,6.32,53421.3,53424
13-12-2024 13:45,24782,149750,150,-225,26000,16700,N,41575,YES,4.43,24767.35,24782,252.5,968125,-175,-475,26325,5600,Y,8150,YES,1.15,13-12-2024 13:45,114.3,981575,-550,-1375,29150,-27875,N,8575,N,-2.03,13-12-2024 13:45,53448.6,46215,-15,-15,10575,6180,N,-195,N,8.55,53420.65,53448.6
13-12-2024 13:50,24768,161450,525,200,25075,-41650,YES,50,Y,4.78,24783.95,24768,238.3,946825,-475,-150,26150,-43650,YES,-40750,Y,1.12,13-12-2024 13:50,116.5,1145350,200,50,28100,34950,YES,-8600,YES,-2.35,13-12-2024 13:50,53423.3,26340,-60,0,8595,30,YES,5400,N,4.78,53450,53423.3
13-12-2024 13:55,24784.35,89250,-425,75,21725,24775,Y,-4475,Y,2.36,24765,24784.35,247.15,719000,-50,25,26175,6500,Y,10425,YES,0.72,13-12-2024 13:55,109.55,1130125,-300,225,30775,-35675,Y,45075,Y,-2.12,13-12-2024 13:55,53457.75,19965,15,105,7740,1320,N,-1215,Y,3.28,53435.5,53457.75
13-12-2024 14:00,24778.15,103950,-125,150,19400,-2950,YES,16775,YES,2.99,24783.1,24778.15,242.95,850075,-175,625,28350,-6500,YES,-2050,Y,0.97,13-12-2024 14:00,110.5,1092125,775,-550,31400,49600,YES,4125,N,-2.16,13-12-2024 14:00,53421,11055,15,0,8595,-6300,YES,22290,YES,1.91,53457.75,53421
13-12-2024 14:05,24790,58100,-500,-175,20550,8025,N,-5700,Y,1.55,24778,24790,251.2,565125,-475,-175,27475,1825,N,7075,N,0.58,13-12-2024 14:05,104.15,942250,-150,350,30825,78000,YES,57050,Y,-1.72,13-12-2024 14:05,53440.75,20970,-75,0,6570,360,N,-8505,Y,3.24,53411.45,53440.75
13-12-2024 14:10,24776,59100,0,125,19450,1350,YES,10250,N,1.63,24789.6,24776,233.55,456600,-450,-225,28075,1725,YES,8300,N,0.47,13-12-2024 14:10,107.85,731275,-275,-200,28300,24800,N,100,YES,-1.36,13-12-2024 14:10,53409.1,12360,180,75,7050,-2385,YES,5625,N,2.02,53440.75,53409.1
13-12-2024 14:15,24799.2,73275,-250,275,20350,1125,YES,-2275,Y,2.03,24775.3,24799.2,253.35,529900,25,175,26650,-4000,YES,-16725,Y,0.57,13-12-2024 14:15,97.45,948850,-500,-525,36200,-17275,Y,9925,N,-1.8,13-12-2024 14:15,53492,25065,90,-45,8715,450,N,-18165,Y,4.29,53412.35,53492
13-12-2024 14:20,24796.55,53025,25,125,15400,13225,N,-17925,Y,1.46,24800,24796.55,250.1,430750,-100,0,25000,14350,N,16200,YES,0.46,13-12-2024 14:20,97,754175,125,-350,30125,-9425,N,42150,Y,-1.4,13-12-2024 14:20,53494.2,32715,-60,510,7515,-525,YES,-11130,N,5.86,53492,53494.2
