last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,vol_traded_today,bid_size,ask_size,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
12-11-2024 12:50,24094.95,132600,-25,-750,20925,17050,Y,20675,YES,-6.49,24073,24094.95,12-11-2024 12:50,29.05,1591350,25,1500,33950,1575,Y,7200,YES,-0.73,12-11-2024 12:50,316.6,475475,725,25,35200,-2350,N,23050,Y,2.84
12-11-2024 12:55,24091.45,129475,-150,75,16300,-6500,YES,-16400,Y,-6.54,24090.4,24091.45,12-11-2024 12:55,28.6,1172325,1150,-75,29675,32725,Y,22425,N,-0.54,12-11-2024 12:55,319.4,242950,-175,-100,23650,-4425,Y,-3600,YES,1.62
12-11-2024 13:00,24108,102350,-50,-50,18675,25875,Y,13900,YES,-3.84,24092,24108,12-11-2024 13:00,29.8,1263800,-3325,300,30975,400,YES,-29925,Y,-0.52,12-11-2024 13:00,303.05,212100,-125,50,25400,-625,N,3100,N,1.15
12-11-2024 13:05,24091.6,33125,0,50,15400,20375,N,925,Y,-1.23,24108,24091.6,12-11-2024 13:05,27.5,822875,925,350,30825,10625,N,-12050,N,-0.35,12-11-2024 13:05,311.85,111625,25,-50,25575,675,N,5950,N,0.61
12-11-2024 13:10,24078.2,48425,-75,-400,17925,-11375,YES,425,Y,-2.01,24091.6,24078.2,12-11-2024 13:10,26.8,706925,275,0,32600,16375,N,3600,N,-0.3,12-11-2024 13:10,328.1,152775,-100,50,20575,4775,N,-4825,YES,0.92
12-11-2024 13:15,24044,135675,450,-75,16750,2300,N,12250,N,-7.03,24072.65,24044,12-11-2024 13:15,23.1,1737525,-2050,775,34650,-62275,YES,-45750,Y,-0.81,12-11-2024 13:15,357.1,213825,75,200,25175,-5450,Y,-6775,YES,1.61
12-11-2024 13:20,24059.95,87850,-275,50,20875,26825,Y,-6225,Y,-3.89,24042,24059.95,12-11-2024 13:20,23.6,811275,550,3425,35850,10375,Y,-50,YES,-0.36,12-11-2024 13:20,342.2,127750,450,0,26125,2750,N,18275,Y,0.86
12-11-2024 13:25,24053.15,43450,375,50,18875,-11100,YES,30275,YES,-1.89,24058.9,24053.15,12-11-2024 13:25,22.5,606925,1200,-3700,40775,-8950,YES,17500,N,-0.27,12-11-2024 13:25,351.65,117550,-100,-100,25325,-400,Y,-2700,YES,0.83
12-11-2024 13:30,24021,55775,-350,50,18025,-24475,YES,-64425,Y,-2.57,24051,24021,12-11-2024 13:30,19.15,1011100,-1525,-350,45050,-34225,YES,59350,YES,-0.48,12-11-2024 13:30,377.5,105600,0,-125,24325,-3600,Y,-6250,YES,0.81
12-11-2024 13:35,24017.55,148100,-1725,50,27700,-38200,YES,-27925,YES,-7.57,24025.7,24017.55,12-11-2024 13:35,18.85,1316450,575,-1175,41500,40525,Y,-36125,Y,-0.66,12-11-2024 13:35,382,153750,-200,0,25250,-2700,N,4675,N,1.31
12-11-2024 13:40,24006.1,169775,-1450,300,22450,-26300,N,3600,YES,-8.21,24017.35,24006.1,12-11-2024 13:40,19,1064375,-600,1850,40625,-18750,YES,-6675,YES,-0.5,12-11-2024 13:40,386.1,98600,-150,150,21400,-1100,N,-11025,YES,0.86
12-11-2024 13:45,24030,122475,-50,-50,22125,-4425,Y,40850,YES,-4.35,24006.1,24030,12-11-2024 13:45,21.1,1276700,1175,-1825,38500,21050,Y,-26150,Y,-0.5,12-11-2024 13:45,368.1,97750,0,300,23675,-1200,Y,-825,N,0.69
12-11-2024 13:50,24042.9,49025,100,-325,17800,-33000,YES,11650,N,-1.82,24030,24042.9,12-11-2024 13:50,22.8,720275,950,375,40550,48925,Y,800,YES,-0.29,12-11-2024 13:50,352.55,62850,-275,75,21125,-2325,Y,100,N,0.49
12-11-2024 13:55,24035.2,53800,-50,75,21125,975,Y,4450,N,-1.65,24042.9,24035.2,12-11-2024 13:55,20.8,639050,1100,-1625,44975,15500,N,52775,YES,-0.24,12-11-2024 13:55,366.6,48925,100,425,21375,3200,N,-2300,YES,0.33
12-11-2024 14:00,24025,22825,1525,-25,11125,-11475,YES,14625,N,-0.8,24030.7,24025,12-11-2024 14:00,20.25,431625,2350,-5475,42300,26775,N,17375,N,-0.17,12-11-2024 14:00,373.75,67825,275,775,15600,4400,N,4000,N,0.52
12-11-2024 14:05,24025.15,30125,-1450,-75,12925,1225,N,-62850,Y,-0.95,24025,24025.15,12-11-2024 14:05,20.45,496900,275,-550,36975,25200,N,-3500,Y,-0.19,12-11-2024 14:05,367.6,107550,100,-25,21850,-10425,Y,2975,YES,0.77
12-11-2024 14:10,24026.25,24150,775,0,15375,2875,N,41350,YES,-0.79,24025.15,24026.25,12-11-2024 14:10,20.25,534100,-1200,-2575,40700,-800,YES,-4200,Y,-0.2,12-11-2024 14:10,365.9,45050,-175,0,22200,-2850,N,-550,YES,0.31
12-11-2024 14:15,24044.25,35325,-325,75,14975,3100,N,6950,N,-1.22,24026.25,24044.25,12-11-2024 14:15,20.65,656275,-650,2000,34125,11300,N,-27700,Y,-0.26,12-11-2024 14:15,356.7,143675,-50,475,18525,3300,N,4600,N,1.07
12-11-2024 14:20,24043.8,31525,-325,50,12475,9225,N,5700,N,-0.88,24044.25,24043.8,12-11-2024 14:20,20.75,516950,-4925,3950,40550,28900,N,32175,YES,-0.19,12-11-2024 14:20,349.15,42675,175,-175,19275,-3000,Y,1350,YES,0.26
12-11-2024 14:25,24010,65800,1125,-75,18975,-41325,YES,30825,YES,-2.2,24043.75,24010,12-11-2024 14:25,19.4,952775,3675,2575,42850,18275,N,15550,N,-0.36,12-11-2024 14:25,382.45,89275,-1075,75,24425,-5250,Y,1975,N,0.66
12-11-2024 14:30,24055,51775,-800,150,20925,44775,Y,-10775,Y,-1.46,24010,24055,12-11-2024 14:30,22.05,790350,-2325,1775,44100,-12800,YES,-30725,Y,-0.28,12-11-2024 14:30,343.45,76800,-125,-550,23275,7075,N,5150,N,0.48
12-11-2024 14:35,24029,60975,-175,175,15475,7525,N,-9175,N,-1.44,24051,24029,12-11-2024 14:35,19.95,844800,-875,1475,36700,-7600,N,-23525,N,-0.28,12-11-2024 14:35,363.95,106375,-125,150,27775,-2700,Y,-3200,YES,0.62
12-11-2024 14:40,24032.75,33600,0,25,12400,18600,N,5575,N,-1,24029,24032.75,12-11-2024 14:40,20.4,537275,1550,2525,38100,31850,Y,2975,YES,-0.19,12-11-2024 14:40,359,31225,-75,0,19075,2950,N,14625,N,0.22
12-11-2024 14:45,24031.15,32700,1450,100,11950,-17550,YES,54000,YES,-0.89,24034.7,24031.15,12-11-2024 14:45,19.9,528775,125,1850,44300,-32625,YES,45375,YES,-0.18,12-11-2024 14:45,358,28175,0,-75,19325,2800,Y,1050,YES,0.18
12-11-2024 14:50,24024,29375,-75,275,17250,-2800,N,7275,N,-0.8,24031.15,24024,12-11-2024 14:50,18.6,608325,2700,-900,37850,-33075,YES,22675,N,-0.21,12-11-2024 14:50,363.85,28000,-425,-150,21075,-1075,Y,950,YES,0.18
12-11-2024 14:55,24008,46675,475,-150,10950,-13500,YES,4250,N,-1.34,24024.95,24008,12-11-2024 14:55,16.6,592375,-3175,1775,45350,-73025,YES,6850,N,-0.21,12-11-2024 14:55,385.35,32250,-175,225,15600,25,N,-3275,YES,0.23
12-11-2024 15:00,23998.9,105550,-475,-25,16600,1125,N,-15575,Y,-3.42,24008,23998.9,12-11-2024 15:00,16.3,867325,4075,-3300,36450,61325,Y,-142600,Y,-0.32,12-11-2024 15:00,383.3,73425,175,25,23000,-18500,Y,-800,N,0.55
12-11-2024 15:05,23967,196650,225,1825,23175,-47275,YES,-6175,N,-7.09,23999.05,23967,12-11-2024 15:05,14.8,1511250,-525,-300,42200,-130075,YES,-66525,YES,-0.57,12-11-2024 15:05,416.9,120325,-150,200,22475,-5375,N,-22050,YES,1.03
12-11-2024 15:10,23951,173700,125,-1750,20700,-1000,Y,59550,YES,-6.66,23969,23951,12-11-2024 15:10,13.9,1890600,-1250,-725,51900,-14375,Y,43675,YES,-0.7,12-11-2024 15:10,428.35,247350,250,225,25475,-750,N,15675,Y,2.37
12-11-2024 15:15,23955,135350,0,-25,20500,57250,Y,-8525,Y,-4.92,23951.1,23955,12-11-2024 15:15,13.9,1579650,-1350,-1150,50150,-17525,YES,-97875,Y,-0.57,12-11-2024 15:15,423.8,203050,-150,0,28075,-800,Y,-2150,YES,1.88
12-11-2024 15:20,23940.3,172925,-250,125,17525,-17475,YES,10825,N,-5.93,23954.95,23940.3,12-11-2024 15:20,14.05,1066350,-1325,-675,39475,15150,Y,-15250,YES,-0.37,12-11-2024 15:20,433,57950,125,75,23850,-2525,Y,-1700,N,0.53
12-11-2024 15:25,23931.1,229525,-125,75,24000,-46650,YES,-53125,Y,-8.1,23940,23931.1,12-11-2024 15:25,12.85,1323975,325,-1800,36275,-82500,YES,-98800,Y,-0.45,12-11-2024 15:25,450,80050,0,225,27300,-17300,Y,-39125,YES,0.78
