last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 12:00,-7.85,46325,-300,-625,-10.95,-7.85,15375,12925,N,-1375,YES,1.18,24555,24547.15,-3.9,3213425,2000,300,-3.6,-3.55,22475,-12725,89750,0.57,2.15,2445825,-1250,2800,2.45,2.45,31900,61000,13800,-0.83,-14,9105,-720,60,-14,-19.35,8520,435,900,1.01
03-12-2024 12:05,-8.1,23200,-25,0,-8.2,-5.3,12775,-1975,YES,4000,N,0.42,24547.1,24539,-3.9,2421400,50,525,-3.95,-3.9,25075,21725,35475,0.25,5.05,2748575,325,-800,5.25,5.3,34400,-28100,-43075,-0.59,-28.45,23595,30,-30,-3.6,-14.1,6600,3165,-6675,2.03
03-12-2024 12:10,-3.1,20750,175,0,1.9,1.95,10575,-1050,N,475,Y,0.33,24538.6,24535.5,0.25,2762125,400,-400,0.4,0.45,30100,45125,41375,0.22,0.1,3405175,450,375,-0.1,0.1,33100,-44075,-13550,-0.51,-9.4,9255,150,0,1.4,-5,7620,-3000,3630,0.65
03-12-2024 12:15,-0.6,15150,675,125,-5,-5.6,14000,18525,N,-775,Y,0.29,24535,24534.4,-2.85,2107925,175,1725,-2.55,-2.55,30800,-200,81275,0.22,2.85,1925325,1350,250,2.55,2.6,31350,52250,-13650,-0.36,-5.15,5640,-135,0,-13,-13.1,8985,420,1110,0.47
03-12-2024 12:20,-18,66500,-750,-50,-16.5,-20.15,15800,-10725,YES,-3100,Y,0.73,24530,24512,-8.05,3296600,-925,925,-8.3,-8.15,29625,-143450,63050,0.15,10.15,4608950,200,-1050,10.7,10.95,35350,68700,-234425,-0.29,-35,17355,75,135,-35,-32.05,8085,-6510,-405,0.79
03-12-2024 12:25,11.25,55175,100,0,7.8,11.3,14100,44350,Y,-3050,N,0.41,24511.75,24523,1.9,3612050,125,-50,2.2,2.05,29625,99975,-16900,0.06,-3.45,4228300,-900,-325,-4.05,-4.25,31025,-67125,51375,-0.12,37.7,13695,105,-135,30.7,34.1,8970,795,-2370,0.53
03-12-2024 12:30,1.65,49400,75,400,4.1,3.05,14025,52275,N,-5925,Y,0.66,24521.5,24523.15,2.65,2257350,-1800,-100,2.65,2.65,33200,-64900,47950,0.09,-3.55,2324550,-25,-50,-3.7,-3.65,30075,-56825,130875,-0.18,10.35,13800,-135,-120,20.45,19.05,10635,4320,570,1.06
03-12-2024 12:35,15,25175,25,1600,16.9,15,12225,2575,YES,-7950,Y,0.37,24525,24540,5.6,3053175,-250,300,6.05,6.1,27550,-3775,-49500,0.22,-7.55,2642825,-575,-450,-7.35,-7.5,33500,14350,61175,-0.37,29.15,14460,0,0,31.8,26.15,8580,-2055,1080,1.47
03-12-2024 12:40,14,31800,125,-1875,10.35,14,13375,3375,N,-1025,N,0.59,24540,24554,8.2,3411600,25,-50,7.85,7.8,28125,59550,-202950,0.37,-9.75,2913450,0,150,-9.2,-9.25,32625,-56850,47975,-0.58,30.45,19245,-285,285,27.55,31.55,8520,4020,-2790,2.16
03-12-2024 12:45,-4.7,50175,100,100,-0.6,-4.7,14900,-17475,YES,8825,N,1.07,24554.7,24550,-3.45,2609125,475,250,-3.05,-2.85,26275,-82375,21700,0.33,5.2,2050300,-525,1125,4.95,5.2,31175,117850,-1475,-0.43,-38.8,7980,285,30,-38.85,-45.1,6090,345,4455,0.89
