last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
29-05-2025 12:55,55.9,59.6,57.1,25875,-897.4,29475,-15975,YES,-34200,Y,-0.82,24712.8,24768.7,9.7,8.85,8.9,-242850,-28.75,138150,-85950,YES,-614775,Y,-0.54,-47.5,-47.75,-47.8,-15300,-186.25,55800,-37575,Y,13125,N,0.59,77.6,74.4,78.8,-6090,-1991.6,10410,-2970,YES,-11160,Y,-2.17,55174.4,55252
29-05-2025 13:00,-20.7,-18.7,-20.3,49050,-1027.1,37500,3375,N,10800,YES,-0.7,24768.7,24748,-5.6,-5.65,-5.65,-3900,-27.8,95100,153225,Y,393000,YES,-0.43,18.1,19.3,19.35,-25950,-160.45,45900,68400,YES,-18900,YES,0.4,-34,-25,-38.6,22050,-2578.2,15750,-10110,YES,14010,YES,-1.96,55252,55218
29-05-2025 13:05,-3,-1.5,-0.6,-13200,-695.8,26400,-1350,YES,-4275,Y,-0.27,24748,24745,-0.55,-0.35,-0.75,-124950,-28.8,103050,-113775,YES,273075,N,-0.24,-0.1,0.5,-0.75,14175,-150.95,59550,9375,N,13950,Y,0.29,21.2,2.6,15.8,1530,-2447.2,16140,4770,N,-2100,Y,-1.47,55218,55239.2
29-05-2025 13:10,5,3.8,1.2,-31800,-891.1,23850,-10050,YES,-17025,Y,-0.34,24745,24750,-0.55,-0.5,-0.55,473325,-27.65,143100,60975,Y,-77925,Y,-0.28,-4.55,-4.6,-4.6,-12675,-152.15,42600,-16200,Y,11325,N,0.26,-21,-0.6,0,23460,-2366.8,16260,3060,N,-120,N,-0.93,55230,55209
29-05-2025 13:15,-7.4,-7.3,-6.7,-16125,-831.4,25350,15600,Y,-11625,N,-0.3,24745.9,24738.5,-2.7,-2.7,-2.7,300150,-23.4,121125,-106650,YES,117000,YES,-0.3,3.1,3.15,3.1,-5400,-131.65,49875,32175,YES,2625,YES,0.17,2.6,3,-1.6,8820,-1547.4,19470,-16680,YES,540,N,-1.13,55221,55223.6
29-05-2025 13:20,6.9,7.3,8.4,-75,-946.3,27975,-19425,YES,8850,YES,-0.58,24739.2,24747,-0.35,-0.35,-0.35,118575,-19.45,121425,-52950,Y,82575,N,-0.24,-6.4,-5.7,-5.7,-7650,-135.15,49050,-5175,Y,12225,N,0.15,0.8,-8.8,0.4,17370,-2904.6,14610,9840,Y,-2250,Y,-0.7,55223.6,55224.4
29-05-2025 13:25,0.4,-0.4,6.6,34800,-797.3,26925,3000,Y,5850,N,-0.36,24747,24747.4,-1.1,-1.1,-1.05,-49200,-22.75,139575,2925,Y,111750,YES,-0.39,-2.75,-2.3,-2.25,12525,-129.95,45075,-27075,Y,8700,N,0.21,4.6,16,10.6,-13500,-2791.6,15900,3300,N,9840,N,-0.8,55224.4,55229
29-05-2025 13:30,1.1,0.7,1.4,16575,-874.2,28875,-24150,YES,15675,N,-0.17,24751.9,24748.7,-0.65,-0.65,-0.65,-630225,-22.15,131100,-116475,YES,18375,N,-0.32,-1.3,-0.75,-0.8,17625,-137.45,44100,8025,YES,12525,N,0.15,4,5,7.6,113220,-2768,11910,7350,N,2220,Y,-0.93,55230,55234
29-05-2025 13:35,-1.7,-2.6,-5,-262725,-311.2,24600,-32325,YES,-750,Y,-0.14,24748.7,24747,-0.2,-0.25,-0.25,-408750,-21.25,143100,-14325,Y,-58350,Y,-0.24,2.1,2.35,2.4,16275,-135.8,41850,-244500,Y,-21900,YES,0.1,1,4.4,-7,4740,-1822,18540,840,YES,270,Y,-0.67,55234,55235
29-05-2025 13:40,1.8,2.6,5.2,-70875,-747.5,34650,9225,Y,4950,N,-0.14,24748,24749.8,-0.6,-0.5,-0.5,-211725,-21.35,145875,137250,Y,-8475,YES,-0.24,-3.65,-3.6,-3.7,-11175,-130.65,44325,-6075,YES,3450,Y,0.07,14,9.4,5.8,9270,-2307,21450,4680,N,-10650,Y,-0.69,55235,55249
