last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9
03-04-2025 12:25,-10.5,-7,-5.2,9150,-592.7,25200,-12450,YES,-1125,N,0.15,23368.55,23358.05,-2.65,-3.7,-3.75,-75300,-52.35,52425,380025,Y,-4350,Y,-0.16,-0.1,0.05,0.05,-885300,-18.45,121350,-6975,Y,76950,Y,-0.32,-14.45,-20,-16.7,21510,-1232.3,9390,30,N,-4740,Y,1.41,51675,51660.55
03-04-2025 12:30,4.95,4.75,1.65,-34350,-582.15,25575,-525,N,6000,N,0.09,23358.05,23363,0.65,0.65,0.75,55350,-57.65,59175,-6900,YES,65400,YES,-0.08,-0.95,-1,-1,-828375,-19.15,135525,-127575,Y,678150,Y,-0.27,25.45,19.9,31.55,-26790,-1733.25,8160,-90,YES,-1170,N,1.05,51660.55,51686
03-04-2025 12:35,2.5,2.65,4.55,-64650,-486.15,25125,-1050,YES,7200,N,0.12,23363,23365.5,3.1,3.25,3.25,-87825,-54.55,54000,57825,Y,61500,N,-0.06,-0.3,-0.35,-0.35,2641500,-18.4,120150,324825,YES,27450,N,-0.25,22.15,40.45,29.2,-35760,-1707.05,8100,23850,Y,3780,N,1.03,51686,51708.15
03-04-2025 12:40,-12.85,-13.35,-15.1,17850,-352.4,22650,-7575,YES,6450,N,0.09,23365.5,23352.65,-9,-9,-9,24225,-58.1,57450,-314550,YES,65775,N,-0.11,1.25,1.25,1.25,-594675,-19,129900,717750,YES,-773400,YES,-0.25,-50.45,-50.2,-44,270,-1931,7470,-8340,YES,-3120,Y,0.68,51708.15,51657.7
03-04-2025 12:45,-7.6,-4.45,-1.5,-3450,-638.65,28725,12525,Y,2400,Y,0.05,23352.65,23345.05,-0.55,-0.5,-0.5,192750,-50.2,64350,346875,Y,-6000,Y,-0.21,0.45,0.45,0.45,1508100,-19.3,132600,-325200,Y,91125,Y,-0.36,-22.7,-35.25,-38,-1980,-1698.55,7590,4680,N,-7590,Y,0.67,51657.7,51635
03-04-2025 12:50,-1.95,2,-0.05,-51450,-965.2,32400,675,YES,10800,N,0.06,23352.95,23351,2.5,2.4,2.35,-210975,-52.45,72375,166800,N,28275,YES,-0.14,-0.85,-0.85,-0.85,-2436150,-19.05,127650,-38475,YES,695700,Y,-0.23,19.2,22.7,9.25,-3240,-2149.4,7590,2610,YES,30,N,0.95,51623.05,51642.25
03-04-2025 12:55,8,8,10.85,-55575,-540.55,28200,900,N,5325,N,0.07,23351,23359,1.45,1.65,1.7,-11025,-55.55,65175,-17325,YES,-51150,Y,-0.1,-0.6,-0.6,-0.6,6155925,-18.8,120375,76425,YES,253125,N,-0.2,59.9,60.4,60.95,-3210,-1483.3,8190,-1410,YES,1860,N,2.36,51648.1,51708
03-04-2025 13:00,-1.6,-5.25,-6,600,-584.75,23175,-18075,YES,1725,Y,0.05,23357.25,23355.65,-3.3,-3.2,-3.2,57375,-49.65,59850,122250,Y,38775,YES,-0.14,0.45,0.35,0.35,6252375,-18.45,145500,117600,YES,20700,N,-0.17,-24.7,-24.7,-22.1,-1560,-1881.85,8700,-1830,YES,4080,N,0.57,51708,51683.3
03-04-2025 13:05,-7.65,-4,-7.55,76575,-566.2,24675,-4050,N,-3525,Y,0.03,23355.65,23348,-0.85,-0.7,-0.75,108900,-52.2,73575,235350,Y,15675,N,-0.11,0.35,0.35,0.35,3379050,-18.35,116925,645150,YES,-283125,YES,-0.15,-41.3,-38.25,-47.55,-2850,-1594.1,9180,1350,N,1800,Y,0.48,51683.3,51642
03-04-2025 13:10,-0.5,-0.3,1.55,18000,-378.1,21525,-5250,YES,-300,N,0.01,23348.2,23347.7,1.2,1.3,1.3,31875,-48.75,61725,209700,N,-35700,Y,-0.1,0,0,0,3742650,-19.35,134025,-657225,Y,366375,Y,-0.19,28,35.15,35.3,3390,-1428.45,7590,-2550,YES,-90,Y,0.36,51642,51670
03-04-2025 13:15,2.3,2.25,1.2,13650,-394.7,18975,300,N,2325,N,0.02,23347.7,23350,-1.5,-1.5,-1.5,-208425,-51.8,77850,-38850,YES,68325,YES,-0.11,-0.25,-0.3,-0.3,-1110375,-19.2,114225,445500,YES,77400,N,-0.16,12.25,2.05,13.05,2190,-1939.35,7260,2490,N,1020,N,0.35,51672,51684.25
03-04-2025 13:20,-2.9,-2.9,-3.25,-6450,-428.65,22425,-1200,YES,1425,Y,0,23350,23347.1,-1.35,-1.3,-1.4,10725,-47.35,63825,-86175,YES,11325,N,-0.12,0,-0.1,-0.1,5044650,-18.65,132075,-73500,Y,176850,Y,-0.13,-10,3.25,-6.25,2130,-2095.45,7020,4020,N,-840,Y,0.32,51684.25,51674.25
03-04-2025 13:25,12.9,11.9,12.8,17250,-436.95,24975,1800,N,-1350,Y,0.04,23347.1,23360,4.55,4.7,4.8,-218400,-53.4,68925,-32925,Y,-194850,Y,-0.16,-1.2,-1.15,-1.15,3687900,-18.9,129675,-1104225,Y,518850,Y,-0.19,35.45,30,33.25,-5700,-2244.5,7200,-1020,YES,660,N,0.49,51674.15,51709.6
03-04-2025 13:30,4.95,4.05,3.8,20925,-313.65,22200,900,YES,-2400,Y,0.07,23358.95,23363.9,6.3,6.7,6.8,-66900,-57.9,65100,117300,Y,-233400,Y,-0.13,-0.9,-0.9,-0.9,18963150,-19.1,132375,217650,YES,43275,N,-0.31,44.4,50,44.4,-66690,-1600.4,11880,3210,N,-15000,Y,4.55,51709.6,51754
03-04-2025 13:35,-3.8,-2.8,-3,43875,-321.1,30975,-750,YES,15075,N,0.32,23365,23361.2,-3.05,-2.55,-2.6,87375,-59,60300,-218925,YES,147825,YES,-0.09,0.2,0.15,0.15,12736200,-19.25,130125,1394925,YES,-1222200,YES,-0.24,50,58.75,51,8370,-2007.1,12300,6990,N,-19050,Y,13.32,51750,51800
