last_traded_time,ltp,bid_price,ask_price,n_bid_ask_diff,n_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,last_traded_time,ltp,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price
17-04-2025 13:40,5,2.4,5,-19575,-721.4,38100,26925,Y,6675,YES,3.07,23805,23810,4.7,5.6,6.35,-20475,-335.25,31425,-149325,Y,1275,N,0.11,17-04-2025 13:40,0.2,0.15,0.15,4959075,-18.6,138375,-137475,YES,-251250,YES,-0.16
17-04-2025 13:45,30,26.4,30,367875,-666.3,41250,-825,YES,-15600,Y,4.12,23810,23834.3,19.2,17.75,18.1,44100,-362.45,41775,-50250,Y,-5550,Y,0.29,17-04-2025 13:45,0.1,0.2,0.2,2599875,-19.2,114300,-1289625,Y,-590400,YES,-0.17
17-04-2025 13:50,0.7,2.5,-0.2,210450,-509.7,49575,-22275,YES,11100,YES,6.98,23834.3,23835,-1.45,-0.9,-1.1,-1108275,-324.7,41700,-928800,YES,11400,N,0.4,17-04-2025 13:50,0.05,0,0,2310825,-19.15,119700,-1120425,YES,48675,Y,-0.13
17-04-2025 13:55,-10.4,-9.2,-8.4,95325,-598.4,33600,10425,Y,11325,N,2.84,23836.6,23826.2,4.5,5.05,5.25,15750,-320,34800,-287025,Y,-4950,Y,0.25,17-04-2025 13:55,0,0,0,2471700,-19.05,119475,-79500,YES,33300,N,-0.11
17-04-2025 14:00,21.8,15.1,19.6,90825,-816.2,34500,-10050,YES,-17550,Y,6.39,23826.2,23848,17.45,16.05,16,-1575,-455.4,33225,-1455675,YES,-1650,N,0.25,17-04-2025 14:00,-0.15,-0.1,-0.1,1532325,-19.55,138900,-366750,Y,-91650,YES,-0.12
17-04-2025 14:05,-5.8,0.1,0.1,1650,-1107.7,35925,2700,N,8475,YES,2.76,23848.1,23842.2,4.7,5.4,4.6,36975,-354.7,34125,-357300,Y,9750,N,0.1,17-04-2025 14:05,-0.25,-0.2,-0.2,5823375,-19.15,128025,-384075,Y,106425,Y,-0.09
17-04-2025 14:10,-25.7,-28.7,-25.6,-78075,-758.9,32925,-33075,YES,-9675,Y,2.8,23842.2,23816.5,-34.35,-38.4,-36.3,83550,-390.9,32550,-93900,Y,-14550,Y,0.19,17-04-2025 14:10,-0.55,-0.45,-0.45,3302100,-19.35,130725,-1594575,Y,-165525,YES,-0.17
17-04-2025 14:15,4.9,4.5,-0.4,168825,-1053.4,42825,52575,Y,19275,YES,7.07,23815.2,23820.1,17.15,15.05,15.1,22500,-704.95,44850,-59475,Y,2475,N,0.42,17-04-2025 14:15,-0.5,-0.5,-0.5,2205825,-19.6,123975,-912150,YES,21450,Y,-0.45
17-04-2025 14:20,-11.2,-9.8,-8.5,-25875,-702.9,41775,11700,N,9225,N,2.46,23821.2,23810,-5.75,-6.3,-7.2,-3900,-433.35,28350,-1327725,YES,300,Y,0.07,17-04-2025 14:20,0.25,0.25,0.25,846675,-17.25,112275,371850,YES,-610950,YES,-0.22
17-04-2025 14:25,12.3,13.3,15.1,-101100,-518.7,39750,25275,N,-40275,Y,2.48,23811.6,23823.9,12.85,13.3,13.1,-119325,-358.4,40875,-808950,Y,-7200,Y,0.12,17-04-2025 14:25,-0.1,-0.15,-0.15,643425,-18.8,105225,-243750,Y,260250,Y,-0.14
17-04-2025 14:30,26.8,26.6,24.1,-103875,-514.3,35925,6450,N,-7125,YES,2.36,23824.1,23849.1,10.6,11.75,11.3,-170250,-385.65,53475,-459000,Y,4725,N,0.14,17-04-2025 14:30,-0.1,-0.1,-0.1,4743150,-18.25,108975,-1417050,Y,61875,N,-0.14
17-04-2025 14:35,-0.9,-0.4,-0.2,244500,-597.9,36825,-7800,YES,-12000,Y,3.89,23850.6,23849,2.1,1.75,1,-44775,-355.2,34500,-296925,Y,-3000,Y,0.12,17-04-2025 14:35,0.1,0.1,0.1,4817700,-17.8,114225,5775,YES,-296100,YES,-0.1
17-04-2025 14:40,1.2,1,2.1,104100,-570.3,38025,2025,N,15825,YES,2.08,23849,23850.2,-1.3,0,-0.4,2100,-285.7,32325,-25050,Y,18600,YES,0.08,17-04-2025 14:40,-0.05,-0.1,-0.1,14948250,-18.5,122325,-1493550,Y,96225,Y,-0.12
17-04-2025 14:45,-1.1,0.3,-0.6,25200,-638.5,30975,-27600,YES,6300,N,1.74,23851.1,23850,-0.35,-1.75,-1.35,4275,-468.1,36300,-413700,YES,-2250,Y,0.14,17-04-2025 14:45,-0.4,-0.4,-0.4,11732400,-17.75,119775,-1805625,Y,-122925,YES,-0.19
17-04-2025 14:50,-6.3,-8,-4.6,-321375,-713.3,30750,2325,Y,15150,N,1.44,23850,23842,-6.05,-7.05,-7.6,113100,-268.9,28200,-141450,Y,-16050,Y,0.08,17-04-2025 14:50,-0.05,-0.1,-0.1,24857925,-16.6,98100,-324375,YES,470400,Y,-0.08
17-04-2025 14:55,3,3.7,0.4,-106950,-545.9,34950,7275,N,-15000,Y,3.06,23842,23845,4.55,4.65,4.3,36075,-317.6,38175,-2421075,YES,-3075,N,0.11,17-04-2025 14:55,0,0,0,58107075,-16.85,99375,-712275,Y,-257700,YES,-0.11
17-04-2025 15:00,-6.5,-7,-6.8,363750,-748.4,38250,3075,N,7125,YES,4.05,23845,23838.2,-3.5,-2.2,-2.3,40425,-333.05,48525,-57075,Y,11700,N,0.2,17-04-2025 15:00,-0.25,-0.2,-0.2,390752850,-17.45,132225,-2301300,Y,1237050,Y,-0.12
17-04-2025 15:05,2.3,2,2,26475,-607.8,34800,-1200,YES,-13500,Y,1.82,23838.2,23840.5,2.5,1.55,1.5,44700,-310.25,42900,32325,Y,-14175,Y,0.14,17-04-2025 15:05,0,-0.05,-0.05,734634300,-16.55,94725,-3712650,Y,384825,N,-0.04
17-04-2025 15:10,2.3,2.3,2.9,-166575,-482.1,34275,-2400,YES,-1650,N,2.25,23840.5,23842.8,-1.5,-0.55,-0.95,282375,-218.95,41700,-331425,YES,15300,YES,0.13,17-04-2025 15:10,0,0,0,860597025,-17.25,135900,-1389825,YES,-694500,YES,-0.03
17-04-2025 15:15,4.3,4.6,5.5,-37500,-407.5,30075,20700,Y,-10050,Y,2.5,23842.6,23846.9,-1.3,-1.3,-0.8,-84450,-162.45,55950,4125,Y,1125,Y,0.32,17-04-2025 15:15,-0.1,-0.05,-0.05,978893925,-16.85,113250,-4039500,Y,1202925,Y,-0.06
17-04-2025 15:20,6.9,6.9,6.5,150300,-417,33375,-6150,YES,-8925,N,3.83,23846.2,23853.1,0.15,0.5,0.15,-604875,-63.7,62325,-103950,YES,3075,N,0.28,17-04-2025 15:20,0,0,0,506170275,-18.1,136425,-7370700,Y,-810825,YES,-0.06
17-04-2025 15:25,-4.4,-10.8,-4.9,297600,-619,48600,-186825,YES,-47700,Y,9.53,23853.3,23848.9,1.55,1.55,1.55,817125,-69.75,69375,-9489450,YES,-22650,Y,0.28,17-04-2025 15:25,-0.05,-0.05,-0.05,551208525,-17.35,136050,-16431825,Y,-2802225,YES,-0.07
